PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
LeBron James,CLE,33,77,47,30,37.1,27.4,10.5,19.4,54.2,1.8,4.9,36.3,4.6,6.3,73.3,1.2,7.5,8.7,9.1,4.2,1.5,0.9,1.7,54.4,48,17
Jimmy Butler,MIN,28,56,34,22,37.1,22.2,7.4,15.8,47.3,1.2,3.5,35.6,6.1,7.0,86.5,1.3,4.1,5.4,5.0,1.8,1.9,0.4,1.3,41.4,3,0
Giannis Antetokounmpo,MIL,23,72,38,34,37.0,27.2,10.0,18.7,53.5,0.6,1.8,32.3,6.6,8.7,75.6,2.1,7.9,10.0,4.8,2.9,1.4,1.4,3.1,52.1,39,1
Khris Middleton,MIL,26,77,41,36,36.6,20.2,7.3,15.6,46.7,1.8,5.1,36.3,3.8,4.4,87.8,0.5,4.7,5.2,3.9,2.3,1.4,0.2,3.4,35.2,5,1
Paul George,OKC,27,75,44,31,36.6,21.6,7.3,16.9,43.1,3.0,7.5,39.8,4.1,5.0,81.5,0.9,4.8,5.7,3.4,2.7,2.1,0.5,3.0,38.6,4,0
Damian Lillard,POR,27,69,43,26,36.6,26.7,8.4,19.2,44.0,3.1,8.5,36.3,6.7,7.3,91.8,0.8,3.7,4.5,6.6,2.8,1.1,0.4,1.6,43.4,10,0
Anthony Davis,NOP,25,70,40,30,36.4,28.1,10.4,19.5,53.5,0.7,2.2,33.8,6.5,7.8,83.5,2.5,8.6,11.1,2.3,2.2,1.5,2.5,2.1,54.6,46,1
Russell Westbrook,OKC,29,76,44,32,36.3,25.4,9.5,21.1,45.0,1.2,4.1,29.4,5.2,7.1,73.3,1.8,8.0,9.8,10.2,4.7,1.8,0.3,2.5,53.8,55,24
Andrew Wiggins,MIN,23,78,44,34,36.3,18.0,7.1,16.0,44.2,1.4,4.2,33.0,2.5,3.9,64.5,0.9,3.3,4.3,1.9,1.7,1.1,0.6,2.0,29.5,1,0
Jrue Holiday,NOP,27,76,42,34,36.3,19.0,7.6,15.5,49.0,1.5,4.4,33.4,2.3,3.0,78.3,0.8,3.8,4.5,5.9,2.6,1.4,0.8,2.5,37.2,7,1
Bradley Beal,WAS,24,77,42,35,36.2,22.7,8.4,18.2,46.0,2.4,6.5,37.4,3.5,4.5,79.1,0.7,3.6,4.4,4.6,2.6,1.2,0.4,1.9,37.1,4,0
DeMarcus Cousins,NOP,27,48,27,21,36.2,25.2,8.5,18.0,47.0,2.2,6.1,35.4,6.1,8.2,74.6,2.2,10.7,12.9,5.4,5.0,1.6,1.6,3.8,53.3,38,3
CJ McCollum,POR,26,76,47,29,36.1,21.7,8.3,18.5,45.0,2.4,5.9,40.7,2.6,3.1,84.0,0.6,3.3,3.9,3.3,1.8,1.0,0.4,2.1,33.7,1,0
James Harden,HOU,28,68,56,12,35.5,30.6,9.1,20.4,44.6,3.7,10.2,36.2,8.7,10.1,86.1,0.6,4.8,5.4,8.8,4.3,1.8,0.7,2.4,53.3,29,4
Karl-Anthony Towns,MIN,22,78,44,34,35.5,21.2,7.7,14.2,54.1,1.5,3.5,42.4,4.3,5.0,85.6,2.9,9.4,12.3,2.4,2.0,0.8,1.4,3.4,44.2,64,0
Gary Harris,DEN,23,65,36,29,34.8,17.7,6.6,13.7,48.6,2.4,6.0,39.9,2.0,2.4,82.7,0.6,2.1,2.7,3.0,1.8,1.8,0.2,1.8,29.7,0,0
Kemba Walker,CHA,27,76,34,42,34.6,22.6,7.5,17.4,43.2,3.0,7.7,38.8,4.6,5.4,86.3,0.4,2.8,3.2,5.6,2.3,1.2,0.3,1.3,37.1,3,0
Devin Booker,PHX,21,54,16,38,34.5,24.9,8.4,19.5,43.2,2.7,7.1,38.3,5.4,6.1,87.8,0.5,4.0,4.5,4.7,3.6,0.9,0.3,3.1,37.2,4,0
Kevin Durant,GSW,29,63,47,16,34.3,26.3,9.3,17.9,52.1,2.6,6.0,43.0,5.2,5.8,88.6,0.5,6.3,6.8,5.4,3.0,0.7,1.9,2.0,47.3,13,2
Victor Oladipo,IND,25,71,46,25,34.3,23.3,8.5,18.1,47.3,2.2,5.9,36.6,4.1,5.0,81.0,0.6,4.6,5.2,4.3,2.9,2.3,0.7,2.3,42.3,3,0
Klay Thompson,GSW,28,68,53,15,34.3,19.9,7.8,15.9,49.1,3.1,7.0,44.2,1.2,1.4,83.2,0.4,3.4,3.8,2.6,1.8,0.7,0.5,1.6,30.2,2,0
John Wall,WAS,27,38,22,16,34.3,19.2,6.8,16.3,41.5,1.4,4.1,35.7,4.2,5.8,72.1,0.6,3.0,3.6,9.4,3.6,1.3,1.1,1.9,41.3,17,0
Lonzo Ball,LAL,20,52,24,28,34.2,10.2,3.9,10.8,36.0,1.7,5.7,30.5,0.6,1.4,45.1,1.3,5.6,6.9,7.2,2.6,1.7,0.8,2.3,34.3,13,2
Harrison Barnes,DAL,25,74,23,51,34.1,18.9,7.0,15.6,44.8,1.5,4.2,36.4,3.4,4.1,83.1,1.0,5.2,6.2,2.0,1.5,0.7,0.2,1.2,30.4,8,0
Ben Simmons,PHI,21,75,45,30,34.1,15.8,6.7,12.5,54.0,0.0,0.1,0.0,2.4,4.2,56.4,1.8,6.2,8.0,8.2,3.4,1.7,0.9,2.6,42.0,35,11
DeMar DeRozan,TOR,28,75,54,21,34.1,23.4,8.2,17.8,46.0,1.1,3.6,30.9,5.9,7.2,82.4,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.7,0,0
Trevor Ariza,HOU,32,64,49,15,34.0,11.9,4.0,9.7,41.4,2.6,6.9,37.6,1.2,1.4,85.4,0.5,4.0,4.5,1.6,0.8,1.5,0.2,2.0,23.9,1,0
Blake Griffin,DET,29,58,28,30,34.0,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3
Wesley Matthews,DAL,31,63,20,43,33.8,12.7,4.5,11.1,40.6,2.4,6.4,38.1,1.3,1.6,82.2,0.4,2.7,3.1,2.7,1.3,1.2,0.3,2.2,23.7,0,0
Kentavious Caldwell-Pope,LAL,25,68,29,39,33.8,13.6,4.7,11.0,42.6,2.2,5.8,38.1,2.0,2.6,77.7,0.9,4.6,5.4,2.2,1.4,1.5,0.2,1.9,27.1,4,0
Austin Rivers,LAC,25,57,29,28,33.8,15.3,5.7,13.3,43.0,2.3,5.9,38.3,1.6,2.5,63.6,0.5,2.0,2.5,3.8,1.8,1.2,0.3,2.5,26.9,0,0
Aaron Gordon,ORL,22,53,16,37,33.7,18.0,6.6,15.1,43.7,2.0,5.9,34.3,2.8,4.0,70.6,1.6,6.7,8.3,2.4,1.8,1.0,0.8,2.0,35.0,17,0
Taj Gibson,MIN,32,78,44,34,33.5,12.2,5.2,8.9,58.1,0.1,0.4,20.0,1.7,2.3,76.7,2.3,4.7,7.1,1.2,1.1,0.8,0.7,2.6,25.8,16,0
Tobias Harris,LAC,25,75,38,37,33.5,18.6,7.0,15.2,46.1,2.4,5.7,41.6,2.2,2.6,82.3,0.7,4.7,5.4,2.4,1.3,0.9,0.5,2.1,31.3,3,0
Brandon Ingram,LAL,20,59,27,32,33.5,16.1,6.1,12.9,47.0,0.7,1.8,39.0,3.3,4.8,68.1,1.0,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0
Donovan Mitchell,UTA,21,74,42,32,33.5,20.3,7.5,17.2,43.7,2.4,7.0,33.7,2.9,3.6,81.3,0.6,3.0,3.6,3.6,2.7,1.5,0.4,2.7,32.9,0,0
Josh Richardson,MIA,24,76,41,35,33.4,13.0,5.0,11.0,45.3,1.6,4.3,38.0,1.4,1.7,84.0,0.9,2.6,3.5,2.9,1.8,1.5,0.9,2.5,26.9,0,0
Andre Drummond,DET,24,75,36,39,33.4,15.0,5.9,11.3,52.8,0.0,0.1,0.0,3.1,5.1,61.8,5.1,10.9,16.0,3.0,2.6,1.5,1.7,3.2,45.6,59,0
LaMarcus Aldridge,SAS,32,70,43,27,33.4,23.1,9.1,17.9,50.9,0.4,1.2,31.0,4.5,5.4,83.3,3.3,5.1,8.4,2.1,1.5,0.5,1.2,2.2,39.9,26,0
Marc Gasol,MEM,33,71,20,51,33.2,17.4,6.0,14.3,42.0,1.5,4.4,33.9,3.9,4.7,83.3,1.1,7.1,8.2,4.1,2.6,0.7,1.4,2.5,37.2,25,1
Tim Hardaway Jr.,NYK,26,55,18,37,33.1,17.5,6.3,15.1,41.9,2.3,7.2,31.6,2.6,3.1,82.1,0.6,3.3,3.9,2.7,1.6,1.1,0.2,2.1,28.4,2,0
TJ Warren,PHX,24,65,18,47,33.0,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3.0,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1.0,0.6,2.3,31.2,6,0
Draymond Green,GSW,28,65,46,19,32.8,11.2,4.1,9.0,45.6,1.1,3.7,30.7,1.9,2.4,77.4,1.1,6.7,7.8,7.4,2.8,1.4,1.4,2.7,37.1,22,3
Jeff Teague,MIN,29,66,38,28,32.8,13.8,4.9,11.1,44.3,1.2,3.2,37.3,2.8,3.4,84.2,0.3,2.6,3.0,7.0,2.5,1.5,0.3,2.5,30.8,13,0
Will Barton,DEN,27,76,42,34,32.8,15.1,5.5,12.4,44.6,1.9,5.1,36.6,2.2,2.7,80.7,0.8,4.1,4.9,4.1,1.8,1.0,0.6,2.0,30.4,1,0
Lou Williams,LAC,31,76,41,35,32.8,22.7,7.4,17.0,43.8,2.4,6.7,36.0,5.4,6.1,88.0,0.5,2.1,2.6,5.3,3.0,1.1,0.3,1.4,34.8,7,0
Steven Adams,OKC,24,72,40,32,32.7,14.0,5.9,9.5,62.8,0.0,0.0,0.0,2.1,3.7,56.2,5.1,3.9,9.1,1.1,1.7,1.2,1.1,2.8,31.8,28,0
Rudy Gobert,UTA,25,51,33,18,32.7,13.7,5.0,7.9,62.5,0.0,0.0,0.0,3.8,5.5,69.4,2.9,7.9,10.8,1.3,1.8,0.8,2.3,2.7,36.1,28,0
Thaddeus Young,IND,29,77,46,31,32.6,11.9,5.3,10.8,48.7,0.8,2.3,32.6,0.6,1.1,59.5,2.2,4.1,6.3,1.9,1.3,1.7,0.5,2.2,27.4,8,0
Kristaps Porzingis,NYK,22,48,22,26,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5,0
Kyle Lowry,TOR,32,72,53,19,32.3,16.5,5.2,12.1,43.1,3.1,7.6,40.5,3.0,3.5,85.7,0.9,4.7,5.6,6.9,2.3,1.1,0.2,2.4,35.2,22,3
Evan Fournier,ORL,25,57,20,37,32.2,17.8,6.5,14.1,45.9,2.2,5.9,37.9,2.6,3.0,86.7,0.4,2.8,3.2,2.9,1.7,0.8,0.3,2.4,27.6,0,0
Kyrie Irving,BOS,26,60,41,19,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,0.6,3.2,3.8,5.1,2.3,1.1,0.3,2.0,38.4,1,0
Nikola Jokic,DEN,23,70,39,31,32.1,18.1,6.6,13.1,49.9,1.4,3.6,39.2,3.5,4.2,85.2,2.6,8.0,10.6,6.0,2.8,1.1,0.8,2.8,42.8,34,8
Carmelo Anthony,OKC,33,74,43,31,32.1,16.3,6.1,15.1,40.6,2.2,6.1,36.5,1.8,2.4,75.6,0.8,5.0,5.8,1.3,1.3,0.6,0.6,2.5,27.7,6,0
Stephen Curry,GSW,30,51,41,10,32.0,26.4,8.4,16.9,49.5,4.2,9.8,42.3,5.5,5.9,92.1,0.7,4.4,5.1,6.1,3.0,1.6,0.2,2.2,43.8,5,0
Danilo Gallinari,LAC,29,21,11,10,32.0,15.3,4.9,12.2,39.8,1.7,5.3,32.4,3.9,4.1,93.1,0.4,4.4,4.8,2.0,1.2,0.6,0.5,1.4,25.9,0,0
Goran Dragic,MIA,31,72,38,34,31.9,17.4,6.5,14.5,44.9,1.5,4.1,36.6,3.0,3.7,80.1,0.7,3.3,4.1,4.8,2.2,0.8,0.2,2.4,30.3,2,0
Chris Paul,HOU,32,54,47,7,31.9,18.6,6.3,13.7,45.7,2.5,6.4,38.3,3.7,4.0,91.7,0.7,4.9,5.6,8.0,2.3,1.7,0.3,2.4,41.0,14,1
DeAndre Jordan,LAC,29,72,38,34,31.8,12.2,4.9,7.6,64.6,0.0,0.0,0.0,2.4,4.0,59.8,4.3,11.1,15.3,1.5,1.8,0.5,0.9,2.7,35.5,44,0
Otto Porter Jr.,WAS,24,73,41,32,31.8,14.8,5.8,11.6,50.0,1.8,4.1,43.9,1.4,1.7,82.9,1.3,5.1,6.4,2.1,0.9,1.5,0.5,1.9,31.0,13,0
Robert Covington,PHI,27,74,45,29,31.8,12.8,4.4,10.6,41.3,2.6,6.9,37.0,1.5,1.7,85.3,0.7,4.7,5.4,1.9,1.6,1.6,0.8,3.0,27.8,6,0
E'Twaun Moore,NOP,29,77,43,34,31.7,12.2,5.1,10.1,49.9,1.5,3.6,41.8,0.5,0.8,67.7,0.7,2.3,3.0,2.2,1.3,0.9,0.1,2.2,21.0,0,0
Justin Holiday,CHI,28,68,23,45,31.7,12.1,4.0,10.7,37.2,2.3,6.1,36.6,1.9,2.3,82.7,0.5,3.6,4.1,2.1,1.3,1.1,0.5,1.8,23.4,1,0
Al Horford,BOS,31,68,47,21,31.6,12.8,5.1,10.4,49.2,1.4,3.2,43.3,1.2,1.5,75.2,1.4,6.0,7.4,4.8,1.9,0.6,1.1,2.0,31.9,14,0
Joe Ingles,UTA,30,77,44,33,31.5,11.5,4.1,8.8,46.2,2.5,5.7,44.1,0.8,1.0,82.7,0.3,4.0,4.3,4.6,1.9,1.1,0.2,2.2,25.5,3,0
Nicolas Batum,CHA,29,60,25,35,31.5,11.6,4.3,10.3,41.4,1.4,4.3,33.2,1.7,2.0,82.6,0.9,4.0,4.8,5.5,2.0,1.1,0.4,1.2,28.0,7,2
Eric Bledsoe,MIL,28,69,37,32,31.5,17.8,6.3,13.6,46.6,1.7,5.0,34.3,3.4,4.3,78.3,0.7,3.1,3.8,4.9,3.0,2.0,0.6,2.5,34.6,1,0
Wilson Chandler,DEN,30,69,37,32,31.4,10.1,3.8,8.6,44.6,1.2,3.3,35.8,1.2,1.6,77.3,1.4,3.9,5.3,2.2,1.3,0.6,0.5,2.1,21.9,4,0
Eric Gordon,HOU,29,67,53,14,31.4,18.3,6.1,14.2,43.2,3.2,8.8,36.3,2.9,3.6,81.2,0.3,2.1,2.5,2.2,1.9,0.6,0.4,1.7,25.8,0,0
Jamal Murray,DEN,21,76,42,34,31.3,16.7,5.9,13.1,45.1,2.1,5.4,38.5,2.8,3.1,91.1,1.0,2.7,3.7,3.3,2.2,1.0,0.3,2.1,27.8,1,0
Avery Bradley,LAC,27,46,22,24,31.2,14.3,5.6,13.6,41.4,1.6,4.4,36.9,1.4,1.8,76.8,0.5,2.0,2.5,2.0,2.2,1.1,0.2,2.0,22.0,0,0
Kyle Kuzma,LAL,22,74,33,41,31.1,16.0,6.0,13.4,45.1,2.1,5.7,36.5,1.9,2.6,71.4,1.2,5.2,6.3,1.9,1.7,0.6,0.4,2.1,27.9,17,0
Mike Conley,MEM,30,12,7,5,31.1,17.1,5.3,14.0,38.1,2.0,6.4,31.2,4.4,5.5,80.3,0.0,2.3,2.3,4.1,1.5,1.0,0.3,2.0,28.2,0,0
Dennis Schroder,ATL,24,67,21,46,31.0,19.4,7.5,17.1,43.6,1.1,3.9,29.0,3.4,4.0,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0
Bojan Bogdanovic,IND,28,76,45,31,31.0,14.3,5.0,10.6,47.4,1.9,4.8,39.5,2.3,2.6,86.5,0.4,3.0,3.4,1.5,1.3,0.7,0.1,1.6,21.6,0,0
Tyreke Evans,MEM,28,52,19,33,30.9,19.4,7.0,15.6,45.2,2.2,5.5,39.9,3.2,4.0,78.5,0.8,4.3,5.1,5.2,2.3,1.1,0.3,1.8,35.3,7,0
Jaylen Brown,BOS,21,65,46,19,30.7,14.0,5.2,11.3,45.9,1.6,4.3,38.0,2.1,3.2,64.6,1.0,4.1,5.1,1.6,1.7,1.0,0.4,2.7,25.0,2,0
Jayson Tatum,BOS,20,76,53,23,30.6,13.9,5.0,10.4,47.8,1.3,3.0,43.4,2.6,3.2,82.6,0.6,4.5,5.1,1.6,1.4,0.9,0.8,2.1,26.0,4,0
Courtney Lee,NYK,32,72,26,46,30.6,11.9,4.4,9.9,44.8,1.5,3.7,39.8,1.6,1.7,91.9,0.4,2.5,2.9,2.4,1.2,1.1,0.2,1.4,21.8,1,0
Dion Waiters,MIA,26,30,16,14,30.6,14.3,5.4,13.7,39.8,1.7,5.7,30.6,1.7,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2.0,23.9,0,0
Dwight Howard,CHA,32,77,33,44,30.5,16.7,6.3,11.3,55.6,0.0,0.1,14.3,4.1,7.2,57.0,3.1,9.2,12.3,1.3,2.6,0.6,1.6,3.1,37.4,49,0
Malcolm Brogdon,MIL,25,46,24,22,30.5,13.3,5.2,10.6,48.7,1.3,3.4,37.8,1.6,1.8,88.2,0.5,2.8,3.3,3.2,1.4,0.9,0.3,2.8,24.2,1,0
Joel Embiid,PHI,24,63,41,22,30.3,22.9,8.1,16.8,48.3,1.0,3.4,30.8,5.7,7.4,76.9,2.3,8.7,11.0,3.2,3.7,0.6,1.8,3.3,44.3,38,0
Patrick Beverley,LAC,29,11,5,6,30.3,12.2,4.4,10.8,40.3,2.2,5.5,40.0,1.3,1.5,82.4,1.5,2.6,4.1,2.9,2.3,1.6,0.5,3.1,25.5,0,0
JJ Redick,PHI,33,65,40,25,30.2,16.6,5.6,12.3,45.2,2.7,6.5,41.3,2.8,3.1,90.5,0.1,2.4,2.6,3.0,1.5,0.5,0.1,1.8,24.4,0,0
Taurean Prince,ATL,24,77,22,55,30.2,13.6,4.9,11.6,42.0,2.1,5.4,38.1,1.8,2.2,83.7,0.6,4.2,4.8,2.5,2.3,1.0,0.5,2.0,25.6,5,0
Nikola Vucevic,ORL,27,53,15,38,30.2,17.0,7.2,15.1,47.5,1.2,3.8,31.8,1.4,1.7,82.0,1.8,7.4,9.2,3.3,2.0,1.0,1.1,2.6,37.3,27,1
Dario Saric,PHI,23,74,45,29,30.1,14.9,5.2,11.5,45.5,2.1,5.1,39.9,2.4,2.8,86.8,2.0,4.8,6.9,2.6,2.0,0.7,0.3,2.1,28.0,13,0
Lauri Markkanen,CHI,20,64,22,42,30.1,15.0,5.5,12.7,43.1,2.1,5.9,34.9,2.0,2.4,84.9,1.1,6.4,7.5,1.1,1.2,0.5,0.6,1.5,27.9,14,0
DeMarre Carroll,BKN,31,72,25,47,30.0,13.5,4.5,10.8,41.4,2.0,5.4,36.8,2.6,3.4,76.6,1.5,5.2,6.6,2.0,1.4,0.8,0.4,2.3,26.8,13,0
Al-Farouq Aminu,POR,27,64,39,25,30.0,9.6,3.4,8.5,40.2,1.9,4.9,38.1,0.9,1.3,73.8,1.4,6.2,7.6,1.2,1.1,1.1,0.6,1.9,24.5,9,0
Marcus Smart,BOS,24,54,38,16,29.9,10.2,3.5,9.5,36.7,1.4,4.6,30.1,1.8,2.5,72.9,0.8,2.7,3.5,4.8,2.4,1.3,0.4,2.5,24.4,0,0
Ricky Rubio,UTA,27,72,40,32,29.9,12.9,4.4,10.8,41.0,1.2,3.5,34.5,2.8,3.3,85.7,0.6,4.0,4.6,5.4,2.8,1.6,0.2,2.8,29.0,11,0
Darren Collison,IND,30,64,37,27,29.7,12.5,4.6,9.3,49.4,1.4,3.0,45.1,2.0,2.2,88.0,0.5,2.0,2.6,5.4,1.3,1.4,0.2,1.8,27.2,6,0
Paul Millsap,DEN,33,33,18,15,29.6,15.1,5.5,11.4,48.3,1.1,3.0,36.7,3.0,4.2,70.5,1.6,4.9,6.5,2.8,2.0,1.2,1.1,2.6,31.9,2,0
Dennis Smith Jr.,DAL,20,66,21,45,29.5,15.2,5.8,14.8,39.4,1.6,4.9,31.7,2.0,2.8,69.5,0.7,3.0,3.7,5.0,2.8,1.0,0.2,2.2,28.0,5,1
Jonathon Simmons,ORL,28,69,21,48,29.4,13.9,5.1,11.0,46.5,1.0,3.0,33.8,2.7,3.5,76.8,0.9,2.6,3.5,2.5,2.1,0.8,0.2,2.5,22.9,0,0
Allen Crabbe,BKN,25,71,22,49,29.4,12.5,4.3,10.8,39.6,2.5,6.9,36.5,1.4,1.7,84.0,0.4,3.9,4.3,1.5,1.1,0.6,0.5,2.3,22.0,0,0
Kris Dunn,CHI,24,52,19,33,29.3,13.4,5.5,12.8,42.9,0.8,2.6,32.1,1.6,2.2,73.0,0.5,3.8,4.3,6.0,2.9,2.0,0.5,3.4,32.2,4,0
Myles Turner,IND,22,60,37,23,28.8,13.5,5.0,10.1,49.0,0.9,2.5,37.4,2.6,3.4,77.5,1.5,5.2,6.7,1.4,1.5,0.6,1.9,2.8,29.5,11,0
