PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
Doug McDermott,DAL,77,2.2,61.6,0.3,42.3,0.3,34.8,0.5,24.4,1.4,43.5,1.5,42.2,35,42.9,139,55.4,57,52.6,12,41.7,0.001,0.001,12,25,82,40.2,101,49.5,-14.2,20.9
Dragan Bender,PHX,78,1.2,51.1,0.4,26.7,0.1,20,0.1,11.1,1.8,34.3,2.1,37.3,68,55.9,68,50,18,44.4,7,42.9,0.001,0.001,12,33.3,77,44.2,208,33.7,0.1,-5.1
Draymond Green,GSW,65,3.7,65.5,0.6,40,0.6,39,0.3,18.2,0.8,29.4,2.8,32.1,12,41.7,145,64.8,73,57.5,28,71.4,0.001,0.001,7,14.3,54,25.9,175,33.1,-0.3,2.1
Dwayne Bacon,CHA,53,0.8,61.5,0.3,37.5,0.6,33.3,1.1,34,0.8,31.8,0.3,12.5,18,55.6,67,49.3,54,35.2,12,33.3,1,0.001,4,0.001,9,44.4,30,23.3,-5.1,-1.4
Dwight Buycks,DET,29,2.6,50.7,0.5,23.1,0.5,42.9,1.2,34.4,1.3,44.1,0.8,33.3,183,60.1,51,58.8,46,41.3,15,53.3,0.001,0.001,3,33.3,15,33.3,24,37.5,0.5,0.001
Dwight Howard,CHA,77,7.6,66,2,35.9,0.5,36.8,0.7,32.1,0.4,28.1,0.001,33.3,54,64.8,412,64.6,100,61,90,46.7,0.001,0.001,1,0.001,0.001,0.001,6,16.7,-1.4,-0.1
Dwight Powell,DAL,75,3.5,73.6,0.3,28,0.1,33.3,0.2,37.5,0.7,36.7,0.4,32.3,54,61.1,165,74.5,48,75,40,57.5,0.001,0.001,2,0.001,5,20,58,36.2,-1.3,-0.4
Dwyane Wade,MIA,63,3.6,63.4,1.1,40.3,1.7,27.1,1.9,39.5,1,26.7,1,37.7,80,53.8,261,49.8,149,43.6,42,59.5,0.001,0.001,23,34.8,48,22.9,31,38.7,-4.8,-0.7
E'Twaun Moore,NOP,76,3.1,62.3,0.5,40.5,0.1,44.4,0.001,0.001,0.001,0.001,0.001,0.001,18,44.4,152,67.1,19,89.5,3,100,0.001,0.001,0.001,0.001,1,0.001,0.001,0.001,-2.9,-4.1
Ed Davis,POR,59,1.2,64.3,0.5,35.7,0.2,25,0.1,0.001,0.001,0.001,0.001,0.001,117,60.7,55,63.6,23,47.8,6,66.7,1,0.001,0.001,0.001,0.001,0.001,1,0.001,-2.7,5.3
Ekpe Udoh,UTA,63,5.5,62.5,1.6,36.3,0.9,39,0.9,33.9,0.9,34.5,0.8,31.4,11,36.4,265,55.5,110,60.9,28,50,0.001,0.001,4,0.001,28,50,58,27.6,-3.2,-5.3
Elfrid Payton,PHX,23,2.4,54.5,0.5,33.3,0.6,38.5,0.5,54.5,0.001,0.001,0.001,0.001,46,52.2,39,61.5,19,63.2,9,55.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.7,1.2
Emeka Okafor,NOP,62,2.9,51.4,0.8,29.4,1,35,1.2,34.7,1.1,41.8,1.4,26.2,177,69.5,134,51.5,114,40.4,31,45.2,0.001,0.001,14,21.4,61,27.9,66,39.4,-4.4,8.3
Emmanuel Mudiay,NYK,71,6.9,65,1.9,48.5,0.6,45.7,0.6,45,0.001,0.001,0.001,0.001,44,47.7,342,68.4,77,50.6,40,52.5,2,0.001,0.001,0.001,1,0.001,1,0.001,5.4,4.9
Enes Kanter,NYK,69,4.6,65,1,39.4,1.1,43.4,1.5,41.2,1.8,34.7,3.5,35.8,69,58,265,57,174,55.7,72,70.8,19,15.8,24,16.7,131,29.8,184,40.8,1.6,8.1
Eric Bledsoe,MIL,67,3.9,62.9,0.7,32.7,0.3,30.4,0.2,27.3,2.1,40.6,6.5,35.2,24,41.7,178,66.9,49,55.1,15,66.7,0.001,0.001,47,36.2,203,26.1,316,44.3,-1.6,2.4
Eric Gordon,HOU,62,1.2,59.5,0.3,38.9,0.1,16.7,0.001,0.001,0.001,0.001,0.001,0.001,40,57.5,45,64.4,14,42.9,8,87.5,2,100,0.001,0.001,0.001,0.001,0.001,0.001,-1.3,-6.1
Eric Moreland,DET,63,3,60,0.4,37.5,0.5,50,0.8,41.7,2.2,38.2,1.8,33,69,58,150,58,74,58.1,31,45.2,0.001,0.001,36,30.6,99,38.4,82,31.7,-3,2.2
Ersan Ilyasova,PHI,77,2.9,61.4,1.8,56.4,0.9,43.9,0.5,36.6,2.5,46.1,1.6,35.8,73,49.3,244,56.6,112,60.7,32,68.8,1,0.001,29,41.4,104,36.5,144,45.1,-3,4.9
Evan Fournier,ORL,57,4,60.5,1.2,45.1,1.1,33.9,1.1,51.6,2.6,42.4,4,35.8,32,65.6,210,60.5,104,58.7,37,45.9,1,0.001,30,33.3,145,32.4,156,44.9,4.5,3.3
Evan Turner,POR,74,1.1,61.2,1.1,43.4,1.9,45.3,1.4,45.2,1.4,33,0.4,34.4,63,57.1,190,50.5,151,45.7,31,51.6,1,0.001,0.001,0.001,21,23.8,96,34.4,5.5,-0.2
Frank Kaminsky,CHA,75,2.1,60,1.7,38.8,1.1,42.2,0.6,20.9,0.7,32.1,2.7,40.1,35,42.9,210,49,80,46.3,23,47.8,0.001,0.001,7,0.001,50,30,190,42.6,-2.4,-1.8
Frank Mason,SAC,50,2.6,43.4,1,31.3,0.6,35.5,1,31.9,1.2,49.2,1,31.3,28,39.3,151,39.7,46,63,27,25.9,0.001,0.001,16,25,40,47.5,27,25.9,2.8,6.3
Frank Ntilikina,NYK,73,1.2,51.1,0.3,19,0.7,31.5,1.1,29.5,1.4,36.2,1.2,35.6,55,70.9,134,39.6,87,39.1,38,47.4,2,100,6,0.001,54,35.2,79,31.6,6.9,-0.1
Fred VanVleet,TOR,71,2.9,50.7,0.4,32.3,0.2,5.9,0.2,33.3,1.6,44.6,1.8,40.3,28,46.4,134,45.5,31,41.9,10,70,2,50,26,23.1,54,33.3,159,47.2,-4.8,-0.2
Garrett Temple,SAC,65,1.3,56.5,0.3,27.8,0.5,46.9,1.3,37.8,2.3,38.9,1.6,40,68,58.8,92,48.9,83,42.2,33,51.5,2,0.001,12,16.7,85,37.6,122,42.6,-1.2,1.1
Gary Harris,DEN,65,4.1,66.8,0.9,41.4,1,47.8,1.2,37.3,3.3,40.6,3.1,39.7,31,58.1,219,59.8,120,56.7,52,71.2,1,0.001,21,33.3,196,37.2,160,43.8,-0.9,3.5
George Hill,CLE,65,1.6,66,0.9,37.9,0.8,44.9,1,39.4,2,44.5,1.5,36.5,12,33.3,150,50,72,55.6,35,45.7,1,0.001,15,33.3,51,45.1,133,42.1,2.6,-2.8
Gerald Green,HOU,36,1.3,51.1,0.2,37.5,0.6,52.2,0.5,41.2,2.7,34.7,4.4,38.1,198,67.2,44,61.4,30,36.7,9,66.7,1,0.001,73,28.8,96,35.4,82,45.1,2.1,0.6
Giannis Antetokounmpo,MIL,72,9.7,70.6,2,39,1.8,35.7,2.2,32.3,1.6,37.2,1.4,31.4,5,60,526,65,291,46.7,101,52.5,0.001,0.001,7,0.001,26,26.9,96,35.4,5.8,-2.6
Glenn Robinson III,IND,18,0.8,53.3,0.4,42.9,0.3,60,0.6,18.2,0.7,50,0.4,0.001,95,56.8,16,50,11,45.5,4,25,2,50,0.001,0.001,4,50,15,20,-5.2,-3.6
Goran Dragic,MIA,72,5,56.7,1.4,40.6,2.1,44.2,1.7,35,1.4,40.4,2.7,35.5,26,50,313,52.1,215,51.2,61,41,0.001,0.001,41,31.7,149,38.9,95,35.8,8.6,-6.5
Gorgui Dieng,MIN,75,1.5,59.1,0.4,37,0.6,51.1,1,40.3,1.3,42.6,0.1,33.3,91,58.2,87,62.1,78,56.4,95,51.6,0.001,0.001,1,0.001,12,25,41,29.3,-5.4,-3.6
Greg Monroe,BOS,45,5.4,63.6,1.5,31.3,0.2,40,0.3,46.7,0.1,33.3,0.001,0.001,113,50.4,167,61.7,36,52.8,10,80,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.7,2.8
Harrison Barnes,DAL,74,4.2,58.1,2.3,45.6,1.8,36.1,2.1,41.1,2.9,40.4,2.2,35.6,90,60,370,52.2,248,48.4,65,50.8,0.001,0.001,13,46.2,104,30.8,194,39.2,2.4,-1.6
Hassan Whiteside,MIA,49,5.9,66.6,2.2,40.7,1.4,34.3,0.9,43.5,0.1,28.6,0.001,100,37,67.6,245,62.4,96,53.1,42,57.1,0.001,0.001,0.001,0.001,0.001,0.001,2,100,-1.3,-1.4
Ian Clark,NOP,71,1.5,62.1,1,45.2,0.6,51.2,0.6,48.9,1.4,38,1.5,29,51,58.8,123,52.8,66,65.2,32,59.4,0.001,0.001,4,25,31,19.4,145,34.5,-4.7,9.4
Ian Mahinmi,WAS,73,2.5,60.6,0.6,52.4,0.1,40,0.001,0.001,0.001,0.001,0.001,0.001,1,0.001,122,66.4,23,73.9,13,53.8,0.001,0.001,0.001,0.001,1,0.001,1,0.001,-0.3,-9.6
Iman Shumpert,SAC,14,0.6,75,0.2,33.3,0.2,66.7,0.8,54.5,1.4,15.8,1,28.6,15,46.7,6,83.3,14,50,9,33.3,3,0.001,1,100,7,28.6,17,23.5,-2.6,-2.5
Isaiah Canaan,PHX,20,2.5,40,0.7,61.5,0.2,25,0.1,50,1.2,43.5,2.2,27.9,6,50,32,50,11,63.6,1,0.001,0.001,0.001,9,11.1,27,40.7,27,37,11.8,1.6
Isaiah Hicks,NYK,13,1.6,57.1,0.3,0.001,0.3,100,0.2,33.3,0.4,40,0.3,0.001,44,52.3,17,47.1,6,83.3,1,100,0.001,0.001,1,0.001,2,0.001,4,25,2.3,-6.8
Isaiah Taylor,ATL,62,2.8,55.8,0.6,39.5,0.6,21.2,0.1,16.7,0.8,38.8,0.5,12.5,21,23.8,142,52.1,37,56.8,18,33.3,2,50,3,33.3,9,11.1,53,28.3,6.1,-7.2
Isaiah Thomas,LAL,32,3.2,47.5,1,37.5,1.3,34.9,1.5,50,2.2,33.3,3.9,28.6,13,53.8,91,56,64,51.6,10,80,0.001,0.001,54,24.1,76,30.3,47,38.3,-3.5,0.1
Isaiah Whitehead,BKN,16,2.6,56.1,1.1,37.5,0.3,20,0.4,60,0.3,20,0.9,42.9,78,51.3,32,53.1,10,50,1,100,1,0.001,0.001,0.001,5,20,12,41.7,-1.7,-3
Ish Smith,DET,77,3.5,59,1.4,40,1.3,48.5,2.2,44.5,0.8,35.4,0.5,35.1,18,44.4,244,54.1,232,49.6,72,63.9,0.001,0.001,11,45.5,22,31.8,46,32.6,-10.5,-5.7
Ivan Rabb,MEM,31,1.9,61.1,0.4,50,0.4,54.5,0.8,59.1,0.2,50,0.001,0.001,38,50,41,73.2,28,53.6,11,72.7,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-1.4,-0.4
J.J. Barea,DAL,67,2.3,61,1.2,43.4,1,42.9,0.7,39.6,1.6,38.5,3.1,35.5,34,55.9,168,56,94,50,44,52.3,1,0.001,20,35,146,33.6,141,39.7,5.1,6
JJ Redick,PHI,26,4.1,57.5,0.8,40,0.7,47.1,1.6,48.8,1.2,43.3,1.5,40,3,66.7,82,57.3,47,55.3,18,44.4,0.001,0.001,4,50,28,32.1,31,45.2,6.9,6.3
JR Smith,CLE,4,1.8,57.1,2,66.7,0.3,0.001,0.001,0.001,0.3,0.001,0.001,0.001,29,55.2,6,83.3,103,51.5,1,0.001,1,0.001,0.001,0.001,124,33.1,0.001,0.001,2.8,-5.1
JaKarr Sampson,SAC,75,2.5,62.2,0.2,17.6,0.2,38.9,0.5,27,2.6,33.9,2.2,30.9,19,63.2,116,56.9,20,45,33,51.5,0.001,0.001,30,16.7,1,0.001,145,36.6,-5.1,-39
JaMychal Green,MEM,27,2.6,63.8,1.3,52.9,0.8,40,0.1,0.001,0.1,0.001,0.001,0.001,14,57.1,68,63.2,6,66.7,6,100,0.001,0.001,0.001,0.001,1,0.001,2,0.001,1.6,4
Jabari Parker,MIL,19,1.8,57.1,0.5,50,0.1,0.001,0.2,33.3,0.4,42.9,0.2,66.7,95,69.5,20,65,39,82.1,5,20,0.001,0.001,2,50,0.001,0.001,6,66.7,-0.2,5.7
Jack Cooley,SAC,76,3.9,69.4,0.5,29.7,0.2,50,0.001,0.001,0.001,50,0.001,0.001,53,45.3,164,70.7,115,55.7,16,56.3,5,0.001,0.001,0.001,126,38.9,2,50,-13.5,-1.7
Jae Crowder,UTA,76,0.8,53.3,0.5,37.8,0.8,60,2.4,45.3,2.6,42.6,2.1,31.3,81,55.6,217,47.5,145,53.8,10,70,7,14.3,113,28.3,141,34,59,37.3,-4.5,2.1
Jahlil Okafor,BKN,76,3.5,57.8,1.1,42.5,1.3,47.9,1.4,41.5,2.6,38.4,3.1,39.1,7,85.7,241,53.9,53,39.6,54,61.1,0.001,0.001,31,29,57,35.1,225,43.6,11.9,2.7
Jakob Poeltl,TOR,50,0.8,64.3,0.2,11.1,0.3,33.3,0.4,28.6,1.5,37.7,1.5,34.7,3,66.7,38,55.3,5,20,14,42.9,0.001,0.001,9,44.4,7,14.3,60,30,8.6,3.2
Jamal Crawford,MIN,9,0.6,20,1,50,0.001,0.001,0.4,25,0.5,0.001,0.8,33.3,35,57.1,6,50,59,66.1,1,0.001,0.001,0.001,0.001,0.001,48,37.5,3,33.3,1.9,-0.4
Jamal Murray,DEN,67,2.3,63.5,0.2,28.6,0.3,47.6,0.2,43.8,1.2,33.3,1.1,36.5,103,58.3,88,61.4,134,61.9,17,70.6,13,15.4,7,14.3,364,38.2,84,34.5,9.9,-9.1
Jameer Nelson,DET,68,6.6,61.2,1.3,33,1.2,41.3,0.9,42.9,2.1,41.1,8,35.6,74,66.2,352,59.4,69,59.4,22,72.7,0.001,0.001,207,34.8,42,21.4,96,39.6,-0.3,-7.3
Jamel Artis,ORL,69,3.8,66.4,0.8,49.1,0.4,50,0.6,40.5,1.5,33.3,1.2,30.1,4,50,191,65.4,1,0.001,30,46.7,0.001,0.001,9,11.1,8,37.5,126,36.5,-0.8,2.7
James Ennis III,DET,9,0.3,33.3,0.001,0.001,0.001,0.001,0.001,0.001,1.8,21.4,0.4,25,61,54.1,3,33.3,2,50,0.001,0.001,0.001,0.001,1,100,4,25,8,0.001,0.001,-1.2
James Harden,HOU,6,0.3,50,0.2,100,0.2,0.001,0.001,0.001,0.7,25,1,33.3,2,100,2,50,4,50,0.001,0.001,1,0.001,2,50,19,47.4,4,25,2.5,-0.2
James Johnson,MIA,15,0.6,66.7,0.1,0.001,0.1,0.001,0.5,66.7,1.1,47.1,3.4,42.6,66,53,5,80,71,53.5,4,75,0.001,0.001,1,0.001,52,40.4,42,42.9,-21.1,-3.2
James Webb III,BKN,55,4.3,58.3,0.5,32,0.4,29.2,1,41.8,1.7,31.5,1,33.3,66,62.1,163,58.9,8,50,28,46.4,0.001,0.001,1,0.001,29,41.4,70,31.4,-5.7,5
James Young,PHI,45,0.5,57.1,0.001,0.001,0.001,0.001,0.1,0.001,0.7,43.3,1.2,32.7,27,51.9,15,46.7,103,50.5,5,20,1,0.001,10,30,26,34.6,35,37.1,-5.2,2.5
Jamil Wilson,LAC,72,3.1,54.5,0.4,18.5,0.5,41.7,0.9,36.5,1.4,37.6,0.5,36.8,1,100,135,53.3,57,71.9,47,48.9,3,66.7,3,33.3,0.001,0.001,66,33.3,15.7,0.3
Jared Dudley,PHX,67,4.3,65.6,0.7,37.5,0.2,38.5,0.1,22.2,0.2,35.7,0.001,0.001,23,34.8,172,66.9,110,50,21,66.7,0.001,0.001,0.001,0.001,25,20,14,28.6,-1.7,-2.4
Jarell Martin,MEM,58,1.3,55.4,1.1,50.8,1.1,37.1,1.4,38.1,1.4,39.2,0.9,34.6,104,46.2,150,44.7,10,60,29,55.2,0.001,0.001,17,17.6,36,30.6,36,41.7,-3.6,0.001
Jarrett Allen,BKN,46,0.3,53.8,0.001,0.001,0.2,71.4,0.2,62.5,1.4,37.1,1,29.5,3,33.3,12,33.3,44,40.9,9,77.8,0.001,0.001,15,26.7,14,21.4,46,39.1,7.3,1.9
Jarrett Jack,NYK,48,1.8,42,0.7,25,0.4,61.9,0.8,27.8,0.9,25.6,0.6,33.3,90,62.2,86,46.5,69,62.3,20,40,0.001,0.001,0.001,0.001,111,32.4,40,30,5.6,-4.1
Jason Terry,MIL,65,4.9,55.7,0.8,38,0.5,40,0.7,48.8,2.5,36.6,2,38,90,55.6,187,59.4,3,33.3,25,64,0.001,0.001,18,33.3,2,0.001,132,42.4,3.8,0.2
Jawun Evans,LAC,6,2.5,46.7,0.3,50,0.3,100,0.3,0.001,1.3,25,0.2,100,82,43.9,9,77.8,125,55.2,2,50,0.001,0.001,0.001,0.001,69,39.1,7,28.6,-6.9,-5.5
Jaylen Brown,BOS,76,4,56.5,0.5,24.3,0.8,37.3,1.6,45.8,2,50.3,1.6,38.2,81,67.9,217,49.8,70,51.4,50,66,0.001,0.001,23,34.8,44,22.7,127,48,2.3,2.5
Jaylen Morris,ATL,73,3.7,64.6,0.7,36,0.7,27.1,0.5,35.1,1.3,28.6,0.9,34.8,87,50.6,195,62.1,102,51,30,56.7,6,16.7,7,14.3,58,31,102,32.4,-2.1,0.1
Jayson Tatum,BOS,66,3.1,59.6,2.2,37.7,1.6,41.1,0.8,39.6,1.4,41.3,1.9,34.4,23,39.1,270,51.9,39,66.7,28,60.7,1,100,5,20,15,46.7,142,41.5,0.8,-1.2
Jeff Green,CLE,77,3.6,64.9,0.4,32.1,0.1,50,0.2,35.7,0.9,30.1,0.4,32.4,6,100,140,70.7,104,45.2,21,71.4,2,50,1,0.001,92,41.3,90,25.6,6.4,1.2
Jeff Teague,MIN,76,2.8,58.4,1.3,45.4,1.3,51,1.6,38.4,1.3,39.2,2.1,35.4,93,60.2,298,54,101,51.5,25,68,6,33.3,41,24.4,71,33.8,103,37.9,-5.3,0.5
Jerami Grant,OKC,1,6,50,1,0.001,0.001,0.001,3,33.3,0.001,0.001,2,50,16,56.3,7,28.6,25,64,2,100,0.001,0.001,1,100,51,33.3,1,0.001,-0.4,0.001
Jeremy Lamb,CHA,69,1.6,57.8,0.5,20,0.7,42.2,1,39.7,1,40.3,1.7,35.9,36,38.9,124,49.2,186,53.2,24,37.5,2,0.001,28,17.9,79,36.7,67,38.8,47.9,-11.6
Jeremy Lin,BKN,39,1.5,65,0.4,26.7,0.3,30.8,0.4,29.4,1.8,38,2.2,34.9,49,73.5,60,46.7,123,50.4,9,55.6,4,25,15,33.3,145,33.1,74,40.5,-2.4,2.3
Jerian Grant,CHI,56,4.5,61.3,2,52.7,2.8,45.5,2.4,39.8,2.3,36.2,1.7,34.7,33,60.6,320,50.9,28,53.6,48,62.5,2,0.001,39,20.5,68,32.4,69,43.5,-0.8,0.6
Jerryd Bayless,PHI,65,1.1,58.3,0.3,35.3,0.6,47.4,2,48.9,3.5,47.1,4.8,39.4,29,48.3,147,55.8,39,64.1,60,50,1,100,94,42.6,140,45,166,46.4,-0.2,-1.1
Jimmy Butler,MIN,73,0.8,68.3,0.4,44.8,0.5,28.6,0.5,35.9,0.9,24.6,1.9,37,13,53.8,86,52.3,54,53.7,8,87.5,0.001,0.001,24,29.2,141,39.7,96,35.4,-0.3,-0.4
Jodie Meeks,WAS,75,2.5,63,0.4,56.7,0.2,42.9,0.2,28.6,2,37.7,2.6,44.3,147,57.1,107,69.2,73,50.7,17,70.6,1,0.001,52,26.9,34,20.6,134,45.5,2.8,3.6
Joe Harris,BKN,77,1.9,60.1,0.5,37.1,0.3,31.8,0.3,30,3,43.5,2.9,45.7,44,52.3,109,53.2,36,52.8,19,63.2,1,0.001,16,25,21,38.1,282,47.5,-0.3,-3
Joe Ingles,UTA,50,0.5,62.5,1.4,50.7,1,42.3,0.8,51.2,1.7,31.4,1.2,27.1,114,58.8,86,48.8,246,54.9,11,63.6,0.001,0.001,4,25,35,25.7,93,30.1,-3.1,1.9
Joe Johnson,HOU,50,0.8,54.8,0.2,45.5,0.4,50,0.6,35.5,0.6,46.2,0.8,35.9,67,52.2,36,44.4,21,61.9,16,62.5,0.001,0.001,3,33.3,0.001,0.001,35,37.1,-0.8,-3.5
Joe Young,IND,63,6,65.2,1.9,42.6,3.1,43.4,2,40.8,1,43.9,2.7,27.6,54,61.1,304,61.8,70,71.4,60,51.7,2,0.001,8,25,7,28.6,164,32.9,9.6,-14.8
Joel Embiid,PHI,52,2.3,60.2,1,40,0.2,25,0.1,80,0.1,0.001,0.001,0.001,16,25,88,61.4,70,70,9,77.8,0.001,0.001,0.001,0.001,1,100,4,0.001,-9,-7.5
Joffrey Lauvergne,SAS,69,5.1,67.4,0.5,35.3,0.6,43.9,0.5,35.3,0.4,35.7,0.001,33.3,6,66.7,195,71.8,150,36,27,51.9,0.001,0.001,2,0.001,78,38.5,25,36,5.6,11.9
John Collins,ATL,71,4.5,64.6,1.2,44.7,0.1,37.5,0.5,34.3,0.2,36.4,0.001,33.3,33,51.5,246,65,33,39.4,45,44.4,0.001,0.001,1,0.001,15,40,4,0.001,-4.2,0.5
John Henson,MIL,38,5.9,58.7,0.8,33.3,1.1,31,3.7,29.8,1.4,30.9,3.3,35.4,113,62.8,180,52.8,8,37.5,39,53.8,0.001,0.001,3,66.7,0.001,0.001,70,32.9,-2,2.9
John Wall,WAS,36,1.2,58.1,0.6,23.8,1.1,37.8,0.7,33.3,0.4,23.1,0.9,41.9,15,73.3,60,51.7,37,51.4,12,50,0.001,0.001,3,33.3,17,29.4,25,28,-4.1,-6
Johnny O'Bryant III,CHA,8,2,62.5,0.6,20,0.8,66.7,0.8,0.001,0.3,0.001,0.1,0.001,140,62.9,12,58.3,75,60,4,25,3,0.001,0.001,0.001,4,0.001,3,0.001,9.2,16.3
Jon Leuer,DET,69,1.5,62.3,0.5,27,0.2,45.5,0.1,20,1.4,44.3,0.9,33.3,22,54.5,74,55.4,26,23.1,16,56.3,0.001,0.001,3,33.3,12,41.7,124,42.7,11.4,7.6
Jonas Jerebko,UTA,72,5.1,66,1.8,44.4,0.7,38.5,0.2,70.6,0.3,29.2,0.7,47.9,76,53.9,301,64.8,95,58.9,30,63.3,6,50,0.001,0.001,86,40.7,64,45.3,1.8,4.6
Jonas Valanciunas,TOR,27,1.5,72.5,0.2,40,0.9,16.7,0.9,16.7,1.2,25,0.7,40,16,62.5,40,37.5,26,76.9,13,53.8,0.001,0.001,2,50,1,0.001,30,33.3,-3.4,5.5
Jonathan Isaac,ORL,69,3.9,63.9,1.6,36.7,1,36.2,1.4,41.1,1.3,39.6,1.8,33.9,9,55.6,247,51,160,55.6,22,54.5,0.001,0.001,9,33.3,130,31.5,100,31,0.1,-0.4
Jonathon Simmons,ORL,52,2.5,68.2,0.3,46.7,0.3,64.7,0.1,33.3,0.001,0.001,0.1,0.001,8,37.5,90,68.9,6,33.3,18,88.9,0.001,0.001,0.001,0.001,2,100,2,0.001,2.5,2
Jordan Bell,GSW,76,3.6,59.9,0.9,41.7,1.3,45.4,1.6,42.6,1.8,40.6,2.7,32.9,12,66.7,277,55.6,6,83.3,43,51.2,0.001,0.001,46,26.1,2,0.001,124,41.9,-0.4,3.4
Jordan Clarkson,CLE,2,1,50,0.5,100,2,25,0.5,0.001,1,50,1.5,66.7,13,46.2,1,0.001,25,68,1,100,0.001,0.001,0.001,0.001,34,38.2,3,66.7,3.6,0.1
Jordan Crawford,NOP,22,2.2,61.2,0.4,44.4,0.1,0.001,0.1,66.7,0.4,12.5,0.3,0.001,136,52.2,32,59.4,3,0.001,4,50,0.001,0.001,0.001,0.001,9,11.1,12,8.3,23.9,39.8
Jordan Mickey,MIA,54,0.6,69.7,0.1,50,0.2,40,0.5,40,0.7,52.8,1.1,43.3,4,75,23,52.2,33,51.5,16,62.5,0.001,0.001,11,54.5,67,41.8,43,51.2,-6.3,26
Jose Calderon,CLE,5,3.2,37.5,0.6,0.001,0.6,33.3,0.8,25,1.6,12.5,1.2,33.3,70,40,10,50,9,77.8,1,0.001,2,0.001,0.001,0.001,40,20,4,50,2.3,2.3
Josh Gray,PHX,57,1.9,62.2,0.1,28.6,0.1,14.3,0.2,23.1,1.2,45.6,1.6,34,21,28.6,73,67.1,126,50,6,33.3,3,0.001,5,0.001,81,24.7,89,38.2,3.5,33.3
