PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
Josh Hart,LAL,66,0.8,43.6,0.001,100,0.001,0.001,0.001,0.001,1,30.9,0.8,26,164,64,31,41.9,4,25,5,20,0.001,0.001,7,28.6,2,0.001,63,34.9,1.5,-1.2
Josh Huestis,OKC,75,4.8,56.4,1.6,38.5,1.2,29.9,1.1,39.2,1.5,33.6,1.6,22.7,5,0.001,280,52.9,110,55.5,51,68.6,0.001,0.001,14,14.3,145,37.9,116,28.4,-5.9,-3.4
Josh Jackson,PHX,17,0.1,0.001,0.3,40,0.3,0.001,0.5,50,0.5,50,0.9,26.7,186,69.4,9,11.1,75,52,1,100,0.001,0.001,1,0.001,151,41.1,18,38.9,5.3,0.001
Josh Magette,ATL,76,2.9,59.5,0.8,42.6,1,48.1,1.5,38.4,2.2,35.7,2.5,42.9,13,61.5,248,52.8,203,58.1,44,77.3,0.001,0.001,22,40.9,125,32,152,38.8,14.5,4
Josh Richardson,MIA,75,0.7,50.9,0.5,42.9,0.4,35.5,0.6,47.7,2.8,45.9,2.5,30.4,38,39.5,79,44.3,2,100,16,56.3,2,0.001,77,31.2,11,9.1,133,37.6,-7.8,2.7
Jrue Holiday,NOP,76,5.8,62.8,2.1,47.9,1.4,41.7,1.3,54.5,2.1,34.2,2.6,33.8,34,44.1,385,57.9,74,59.5,35,57.1,0.001,0.001,12,16.7,10,20,201,35.3,9.3,-2.1
Juancho Hernangomez,DEN,24,1,63.6,0.2,33.3,0.001,0.001,0.001,0.001,1.2,37,1,18.2,31,58.1,9,100,13,61.5,2,50,1,0.001,2,100,35,40,33,33.3,0.001,-1.2
Julius Randle,LAL,76,7.7,66.8,1.8,36.7,0.4,40.7,0.4,21.9,0.3,27.3,0.4,24.2,216,53.7,390,67.2,94,47.9,43,53.5,0.001,0.001,3,33.3,175,32,30,23.3,-4.3,1.6
Justin Anderson,PHI,34,1.9,60.9,0.3,0.001,0.2,33.3,0.2,62.5,1.2,28.2,1.5,34,188,53.7,41,56.1,45,55.6,8,87.5,0.001,0.001,5,20,33,21.2,43,25.6,-1.2,-1.2
Justin Holiday,CHI,68,1.7,47.4,0.4,32.1,0.8,30.8,1.1,35.1,3.7,40.1,2.9,31.7,3,66.7,127,35.4,50,44,23,56.5,0.001,0.001,59,42.4,19,26.3,180,40,-8.2,2.4
Justin Jackson,SAC,64,1.3,76.7,0.8,43.8,0.6,42.1,0.6,28.6,1.7,37.6,1.1,27.9,53,66,108,63,122,50,23,56.5,0.001,0.001,5,0.001,1,0.001,127,34.6,-1.5,-1.6
Justise Winslow,MIA,63,3.2,54.5,1,26.2,0.5,24.1,0.3,27.8,1.5,39.6,0.5,33.3,82,51.2,171,52,154,55.8,25,28,1,0.001,1,0.001,77,36.4,93,41.9,1.9,-0.7
Jusuf Nurkic,POR,74,7.3,58.5,1.9,37.1,1,39.5,0.8,33.3,0.9,39.7,0.1,0.001,96,51,381,57.7,26,46.2,95,47.4,27,51.9,0.001,0.001,15,20,6,0.001,1,-7.9
Karl-Anthony Towns,MIN,78,5.9,67.4,2.4,46.3,1.1,43.7,1,44.7,1.6,55.3,2.3,36.7,27,55.6,394,69,57,64.9,32,68.8,1,0.001,9,22.2,37,32.4,190,45.8,-2.3,4.2
Kawhi Leonard,SAS,9,2.8,72,1.1,40,2.6,52.2,1.6,42.9,1.8,31.3,2.6,30.4,62,37.1,41,61,67,44.8,2,100,0.001,0.001,3,0.001,129,30.2,16,50,0.1,2.8
Kelly Olynyk,MIA,71,2.8,73.1,0.6,41.9,0.5,39.4,0.5,37.1,1.5,39.1,2.4,37.3,49,44.9,126,73,212,49.1,55,54.5,9,11.1,6,16.7,229,37.1,210,40.5,-0.4,-14.6
Kelly Oubre Jr.,WAS,76,3.1,61.2,0.8,26.3,0.5,30.8,0.7,25.5,1.8,31.2,2.8,35.2,76,63.2,167,56.3,24,62.5,25,72,5,40,19,36.8,0.001,0.001,187,38,2.4,-3.2
Kemba Walker,CHA,76,4.5,52.8,0.9,34.3,1.4,42.3,2.5,42.9,1.7,43.1,6.2,39.1,51,58.8,286,53.8,89,47.2,65,56.9,1,0.001,112,31.3,88,31.8,201,45.3,6.5,0.6
Kenneth Faried,DEN,32,3.3,57.5,0.8,25,0.3,45.5,0.2,60,0.001,100,0.001,0.001,45,48.9,69,50.7,82,48.8,15,73.3,0.001,0.001,0.001,0.001,122,36.1,0.001,0.001,-0.6,-0.5
Kent Bazemore,ATL,65,3.1,54.7,0.7,17.4,0.6,42.5,1.1,31.1,2.7,43.4,2.2,35.7,14,42.9,164,48.8,175,66.3,46,60.9,0.001,0.001,16,37.5,165,38.8,167,43.1,4.4,6.6
Kentavious Caldwell-Pope,LAL,68,2.4,64.2,0.4,26.9,0.5,35.3,1.4,37.2,2.4,32.9,3.8,40,90,46.7,157,48.4,95,47.4,49,63.3,4,50,48,25,95,33.7,199,43.7,1.8,5.8
Kevin Durant,GSW,63,3.9,71.2,1.2,53.4,2.8,50,3.5,50.5,1.9,43.8,4.5,42.8,58,56.9,411,55.2,21,85.7,46,67.4,6,16.7,127,37.8,1,0.001,79,59.5,7.8,0.2
Kevin Love,CLE,55,3.7,59.2,1,38.6,1.1,40.7,1,37.7,2.6,39.6,3,40.4,15,46.7,173,59.5,18,61.1,23,56.5,0.001,0.001,27,18.5,0.001,0.001,173,48,-5.5,-1.9
Kevon Looney,GSW,62,2,64.8,0.3,23.5,0.1,62.5,0.2,33.3,0.1,50,0.001,0.001,69,50.7,64,71.9,219,60.7,12,58.3,0.001,0.001,1,0.001,160,36.3,2,50,4.3,3.8
Khem Birch,ORL,36,1.6,62.5,0.5,35.3,0.5,21.4,0.1,33.3,0.001,0.001,0.001,0.001,64,42.2,40,60,154,45.5,10,30,1,0.001,0.001,0.001,197,41.6,0.001,0.001,-8.8,2.5
Khris Middleton,MIL,77,2.7,54.8,1.5,50,2.6,52,3.2,51.2,2.1,40,3.4,35.1,136,47.1,404,52,32,40.6,35,74.3,1,0.001,62,37.1,5,0.001,156,36.5,3.4,0.5
Klay Thompson,GSW,68,2.2,66.9,0.6,35.7,1.7,47.8,3.1,49.3,3.7,51.6,4.5,41.1,44,68.2,302,57.6,70,61.4,61,68.9,0.001,0.001,91,36.3,0.001,0.001,179,52,0.7,3.4
Kobi Simmons,MEM,27,2.1,66.7,0.7,26.3,0.7,40,0.6,20,0.7,11.8,0.4,36.4,16,31.3,50,58,158,44.3,13,46.2,0.001,0.001,0.001,0.001,28,32.1,19,26.3,-3,2.4
Kosta Koufos,SAC,71,2.6,66.3,2.1,48.7,0.7,47.1,0.001,100,0.001,0.001,0.001,0.001,13,53.8,204,61.3,101,43.6,18,88.9,9,55.6,0.001,0.001,104,37.5,0.001,0.001,14.1,1.7
Kris Dunn,CHI,52,3.9,51.7,1.6,40,1.9,40,2.1,41.7,1.4,41.9,1.8,32.6,89,49.4,214,50.9,70,64.3,62,59.7,1,100,2,50,10,30,101,32.7,-3.5,0.8
Kristaps Porzingis,NYK,48,3.6,53.8,2.3,42.1,4.1,45.1,3.2,40.7,1.5,41.1,3.8,39.7,42,59.5,351,50.4,3,100,29,51.7,10,50,15,6.7,0.001,0.001,108,46.3,2.9,0.9
Kyle Anderson,SAS,69,2.9,64.6,0.9,45.2,0.6,40.9,0.5,47.1,0.8,39.3,0.2,25,69,76.8,177,57.6,22,63.6,36,61.1,0.001,0.001,4,0.001,150,44.7,36,36.1,-6.1,0.8
Kyle Collinsworth,DAL,27,1.5,45,0.5,30.8,0.1,0.001,0.001,0.001,0.3,14.3,0.2,50,123,56.9,25,56,105,52.4,1,0.001,10,30,0.001,0.001,194,36.1,13,30.8,3.5,-4.2
Kyle Korver,CLE,69,0.4,71,0.1,40,0.2,50,0.4,42.9,2.3,44.4,3.1,43.8,153,56.2,51,51,67,49.3,12,66.7,1,0.001,78,37.2,224,38.8,118,50,1.3,-1.7
Kyle Kuzma,LAL,74,4.5,59,1.3,47.4,0.8,37.9,0.7,40.7,2.4,31.6,3.6,38.9,46,69.6,288,59,79,58.2,36,61.1,0.001,0.001,28,21.4,3,0.001,190,38.9,3.1,-1.5
Kyle Lowry,TOR,72,2.6,62.2,0.6,17.8,0.6,39,0.5,29.4,2.2,41.4,5.5,40.1,15,33.3,162,51.9,122,68,18,61.1,0.001,0.001,119,33.6,170,44.1,191,47.6,-1.3,-0.8
Kyle O'Quinn,NYK,72,2.7,67.4,0.4,66.7,0.5,52.9,0.7,50,0.4,32.1,0.1,0.001,7,42.9,109,71.6,251,51,32,50,1,0.001,1,0.001,15,40,7,14.3,-1.1,-3.1
Kyrie Irving,BOS,60,5.2,59.7,1.7,45.2,1.8,46.8,2.1,49.6,2.3,46,4.9,42.6,51,51,334,53.6,147,53.1,28,67.9,0.001,0.001,112,37.5,69,30.4,93,38.7,-3.1,-3.7
LaMarcus Aldridge,SAS,70,6.1,67.7,2.5,44.4,4,44.2,3.2,41.9,1.3,42.4,0.7,25.5,94,55.3,604,56.3,43,48.8,118,48.3,0.001,0.001,9,11.1,28,32.1,61,32.8,4.4,-1
Lance Stephenson,IND,77,2.8,59.8,0.5,31.4,0.4,53.1,1.6,42.6,1.3,35,1.8,29.1,148,74.3,179,49.7,34,50,47,57.4,0.001,0.001,8,12.5,89,34.8,132,30.3,-6.7,3.2
Lance Thomas,NYK,69,0.9,43.8,0.3,15,0.1,42.9,0.3,33.3,1.1,43.6,0.7,35.3,43,32.6,50,38,62,51.6,8,25,0.001,0.001,6,50,1,0.001,75,44,9.2,-0.6
Langston Galloway,DET,54,0.3,46.7,0.4,47.4,0.4,52.6,0.8,40.5,1.4,38.4,2.5,32.8,118,50,52,40.4,87,52.9,9,66.7,9,33.3,31,29,163,28.2,72,38.9,-5.1,-5
Larry Nance Jr.,CLE,61,4.1,71.8,0.5,33.3,0.4,37,0.8,41.7,0.4,30.4,0.001,33.3,45,60,172,72.1,307,54.7,78,59,0.001,0.001,0.001,0.001,193,33.2,11,18.2,2.3,3.6
Lauri Markkanen,CHI,64,3.8,62.5,0.8,34,1,33.9,1,36.1,2.2,35.5,4,34.9,3,33.3,193,58,57,59.6,15,46.7,0.001,0.001,34,26.5,128,30.5,177,43.5,1.5,-2.4
LeBron James,CLE,77,9.1,73.8,1.3,31.1,1.4,42.7,1.7,40.6,2.1,30.2,3.5,38,23,69.6,526,66.7,195,54.4,70,60,2,50,53,30.2,238,37,130,43.8,1.1,6.4
Lonzo Ball,LAL,52,3.4,46,0.6,30,0.5,40,0.5,36,1.5,35.5,4.3,29.6,5,60,104,43.3,25,72,21,66.7,0.001,0.001,22,27.3,53,26.4,135,32.6,-1.5,0.5
Lou Williams,LAC,76,4.5,56.6,1.7,38.8,1.6,50.8,1.9,41.4,2.8,36.6,4.2,36.9,1,100,354,55.6,15,66.7,53,45.3,0.001,0.001,112,33,37,32.4,153,36.6,-3.7,-2.7
Luc Mbah a Moute,HOU,57,2.6,64.2,0.1,60,0.001,0.001,0.1,0.001,1.9,34,1.1,36.7,6,16.7,60,80,70,41.4,6,83.3,0.001,0.001,10,10,60,35,99,43.4,4,-1.1
Luke Babbitt,MIA,48,0.3,58.3,0.2,55.6,0.3,33.3,0.4,60,1.5,46.5,1.7,35.9,53,60.4,22,54.5,6,50,11,63.6,2,0.001,0.001,0.001,16,25,98,44.9,-0.6,-4
Luke Kennard,DET,68,1,53.7,0.6,28.2,0.6,39.5,1,51.4,1,41.2,1.9,41.1,10,20,98,41.8,9,55.6,30,76.7,0.001,0.001,7,14.3,7,28.6,103,45.6,5.9,0.8
Luke Kornet,NYK,15,1.1,62.5,0.4,0.001,0.1,50,0.1,50,0.8,25,3.2,27.1,13,46.2,11,36.4,58,56.9,3,66.7,3,33.3,0.001,0.001,18,27.8,43,30.2,5.3,-3.4
Luol Deng,LAL,1,2,50,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48,54.2,1,0.001,48,39.6,9,33.3,4,0.001,0.001,0.001,56,35.7,29,31,1.1,25.6
Malachi Richardson,TOR,26,0.9,29.2,0.2,50,0.2,25,0.5,50,1,19.2,0.8,45,84,53.6,18,50,51,35.3,23,69.6,2,0.001,4,25,81,35.8,128,39.8,-19,38.4
Malcolm Brogdon,MIL,46,4.6,60.5,0.8,41.7,1,43.2,0.8,35.1,1.3,47.5,2.2,35.3,74,48.6,153,61.4,49,46.9,16,62.5,0.001,0.001,4,25,49,30.6,52,44.2,4.9,9
Malcolm Delaney,ATL,54,1.2,46,0.2,0.001,0.3,41.2,0.9,31.9,1.5,47.5,1.2,31.7,36,44.4,66,47,204,43.6,15,60,7,0.001,15,20,40,22.5,79,38,2.3,2.6
Malik Monk,CHA,59,0.8,51.1,0.3,22.2,0.5,33.3,0.7,23.7,1.7,38.5,2.3,31.3,33,69.7,64,31.3,96,53.1,16,68.8,2,0.001,33,12.1,0.001,0.001,112,35.7,-0.6,0.3
Manu Ginobili,SAS,61,2.4,61.1,0.8,39.1,0.6,35.9,0.3,31.6,1.3,38.3,1.6,30.9,44,38.6,121,57,107,57.9,93,58.1,3,0.001,10,30,135,43,264,36,16.5,-5
MarShon Brooks,MEM,71,2.9,57.4,2.3,37.3,2.4,35.7,1.5,52.4,1.6,37.8,3.6,35.2,44,38.6,275,48,104,54.8,23,78.3,2,0.001,4,25,71,45.1,0.001,0.001,-2.4,-7.2
Marc Gasol,MEM,77,3.5,61.1,1.7,42.5,1.4,42.9,0.2,44.4,0.001,0.001,0.001,0.001,42,59.5,287,59.2,58,56.9,20,65,0.001,0.001,0.001,0.001,84,32.1,110,36.4,-3.8,-1.9
Marcin Gortat,WAS,74,1.5,63,0.2,29.4,0.4,51.7,1.3,38.3,2.8,43.1,3,38.8,8,50,146,48.6,60,58.3,13,69.2,0.001,0.001,85,34.1,52,26.9,124,36.3,-1.8,1
Marco Belinelli,PHI,50,2,54.9,0.9,39.5,1.6,43.8,1.8,46.1,1.9,43.3,2.8,37.1,70,54.3,158,39.2,59,52.5,19,52.6,1,0.001,10,30,93,34.4,113,28.3,6.4,0.8
Marcus Morris,BOS,54,2.2,51.3,1,32.7,0.8,31,0.6,44.1,1.5,35.8,3.3,29.5,42,54.8,119,44.5,11,54.5,12,66.7,1,0.001,35,31.4,0.001,0.001,106,31.1,0.7,-1.6
Marcus Smart,BOS,62,2,50.8,0.6,30.8,0.7,40.5,0.3,33.3,1.3,39.7,1.7,26.7,1,100,97,50.5,86,58.1,24,79.2,0.001,0.001,15,20,61,34.4,122,28.7,0.4,-5.7
Mario Chalmers,MEM,69,2.5,63.5,0.6,40.5,0.4,43.3,0.6,34.1,1.4,31.5,2.4,37.5,27,44.4,155,59.4,57,57.9,2,50,0.001,0.001,22,45.5,19,26.3,0.001,0.001,4.5,-5.8
Mario Hezonja,ORL,8,3.4,48.1,1.4,9.1,1.8,35.7,0.5,50,0.3,0.001,0.001,0.001,2,50,21,38.1,3,0.001,41,56.1,0.001,0.001,0.001,0.001,1,0.001,113,39.8,1.1,1
Markelle Fultz,PHI,68,2.3,66.2,1,50.7,1.8,49.2,1.3,43.3,1.3,37.5,1.6,37.4,41,53.7,218,58.3,11,36.4,27,59.3,0.001,0.001,11,27.3,90,34.4,161,30.4,3.4,-7.5
Markieff Morris,WAS,70,2.6,61,0.5,23.7,0.3,41.7,0.2,31.3,1.4,27,1.4,32.3,86,55.8,107,61.7,1,0.001,5,40,0.001,0.001,2,50,3,66.7,120,41.7,0.3,-3.4
Marquese Chriss,PHX,2,1,100,0.5,100,0.5,0.001,1.5,0.001,1,0.001,0.5,0.001,4,0.001,4,50,42,61.9,1,100,0.001,0.001,0.001,0.001,94,30.9,0.001,0.001,-1.9,4.4
Marquis Teague,MEM,50,0.8,47.5,0.5,47.8,0.4,61.1,0.4,31.8,0.7,43.8,4.1,35.4,38,52.6,56,53.6,42,66.7,7,71.4,0.001,0.001,17,17.6,0.001,0.001,173,44.5,30.9,-8
Marreese Speights,ORL,2,3.5,42.9,1.5,100,1,50,1.5,33.3,2.5,40,2.5,100,28,57.1,14,50,17,52.9,23,69.6,0.001,0.001,4,100,25,48,1,0.001,-1.8,-2.9
Marvin Williams,CHA,74,1.9,55.4,0.8,49.1,0.4,41.4,0.1,28.6,1.7,36.6,2.3,41.8,150,52.7,127,55.1,20,50,11,36.4,0.001,0.001,11,36.4,41,43.9,47,31.9,-54.2,14.6
Mason Plumlee,DEN,69,4,66.3,0.7,34,0.1,30,0.2,41.7,0.001,0.001,0.001,0.001,38,47.4,167,68.3,34,58.8,7,57.1,0.001,0.001,0.001,0.001,17,29.4,72,40.3,3.3,-5.5
Matthew Dellavedova,MIL,37,0.5,42.1,0.7,28,0.4,43.8,0.1,50,0.7,36,1.6,37.3,67,62.7,32,37.5,98,52,19,63.2,0.001,0.001,3,33.3,35,28.6,93,29,-5,4.8
Maurice Harkless,POR,59,2.5,58,0.3,40,0.001,50,0.1,25,1.4,37.6,0.6,51.4,7,28.6,97,66,32,28.1,23,65.2,3,0.001,4,25,11,9.1,33,54.5,8.6,-7.5
Maxi Kleber,DAL,67,1.8,66.4,0.2,58.3,0.2,46.7,0.3,25,1,35.4,0.8,21.2,21,47.6,72,70.8,119,52.9,15,46.7,2,0.001,2,0.001,0.001,0.001,47,27.7,-2.9,-4
Michael Beasley,NYK,70,4.5,64.8,2.1,43.4,1.6,43.8,1.3,30.7,0.9,42.9,0.6,47.6,28,46.4,360,56.7,21,57.1,43,39.5,1,0.001,6,33.3,36,33.3,2,0.001,3.6,1.9
Michael Carter-Williams,CHA,52,1.7,47.2,0.6,28.1,0.3,26.7,0.6,23.3,0.7,20.6,0.5,25,34,61.8,75,37.3,52,40.4,9,33.3,0.001,0.001,1,0.001,50,32,31,35.5,0.001,5.9
Michael Kidd-Gilchrist,CHA,70,3.6,63.5,1,35.3,0.9,42.6,1.9,40.5,0.4,34.5,0.001,0.001,32,46.9,245,58.4,22,54.5,11,81.8,0.001,0.001,0.001,0.001,22,27.3,28,25,0.5,3.6
Mike Conley,MEM,12,4.3,52.9,1.2,42.9,1,25,1.1,30.8,1.8,13.6,4.7,37.5,11,45.5,46,50,87,64.4,18,77.8,0.001,0.001,7,14.3,36,36.1,113,43.4,-1.2,5.6
Mike James,NOP,36,2.9,52.4,1,45.9,0.8,40,1.1,27,1.3,37.8,1.7,21,2,0.001,119,47.9,30,76.7,48,66.7,0.001,0.001,16,18.8,0.001,0.001,106,45.3,-4.5,-4.8
Mike Muscala,ATL,48,1.6,67.5,0.4,27.8,0.5,44,0.2,45.5,1.3,54.7,1.6,27.8,1,0.001,59,61,48,56.3,6,83.3,0.001,0.001,2,0.001,94,41.5,0.001,0.001,-2.1,-7.8
Mike Scott,WAS,71,1.5,66.4,0.9,46.3,1,60.3,1.1,57,0.9,41.3,1.3,43.2,105,75.2,142,57.7,2,0.001,18,22.2,0.001,0.001,8,12.5,7,14.3,89,38.2,-1.3,4.5
Miles Plumlee,ATL,50,2.5,66.1,0.6,35.7,0.2,40,0.1,25,0.001,100,0.001,0.001,10,40,88,63.6,4,50,0.001,0.001,0.001,0.001,0.001,0.001,20,40,6,16.7,2,-4.7
Milos Teodosic,LAC,45,0.6,64.3,0.2,25,0.4,57.9,1.2,43.4,1.8,43.8,3.8,36.5,46,67.4,47,59.6,57,56.1,0.001,0.001,0.001,0.001,51,33.3,2,50,17,64.7,-6.3,7.5
Milton Doyle,BKN,6,0.8,40,1,50,0.001,0.001,0.2,0.001,0.8,20,1.4,14.3,39,48.7,6,83.3,5,40,24,79.2,0.001,0.001,0.001,0.001,14,42.9,3,0.001,5.2,1.9
Mirza Teletovic,MIL,10,0.4,25,0.2,50,0.3,33.3,0.2,50,0.8,37.5,3.8,47.4,44,65.9,6,33.3,108,61.1,3,33.3,0.001,0.001,3,33.3,17,17.6,20,30,-0.5,-20.6
Montrezl Harrell,LAC,71,5.2,71.3,1.2,42.9,0.3,47.6,0.1,33.3,0.001,0.001,0.001,33.3,17,41.2,261,70.1,23,52.2,123,50.4,0.001,0.001,0.001,0.001,40,30,126,41.3,-1.3,-1.7
Myke Henry,MEM,15,1.7,60,0.1,0.001,0.2,0.001,0.3,0.001,1.3,42.1,1.6,29.2,12,75,13,61.5,24,70.8,7,71.4,4,50,9,33.3,0.001,0.001,123,49.6,-1.3,-3.8
Myles Turner,IND,60,3.1,60.7,0.7,46.2,0.7,35.9,2.3,50.4,1.4,44.6,2,39.7,27,63,146,53.4,23,69.6,33,45.5,15,20,1,0.001,0.001,0.001,1,0.001,2.8,-5.1
Nemanja Bjelica,MIN,63,1.8,61.2,0.7,39.5,0.1,37.5,0.1,0.001,1.1,40.6,1.6,46.5,4,50,85,64.7,48,39.6,9,44.4,0.001,0.001,6,0.001,135,39.3,0.001,0.001,-1.7,-0.3
Nene,HOU,49,3.4,63.3,0.4,54.5,0.3,40,0.4,47.6,0.1,0.001,0.001,0.001,144,46.5,106,67.9,96,49,13,38.5,2,0.001,1,0.001,86,27.9,79,41.8,0.4,-3.1
Nerlens Noel,DAL,30,2.6,55.4,0.4,81.8,0.5,35.7,0.2,0.001,0.001,0.001,0.001,0.001,37,59.5,46,60.9,11,36.4,36,58.3,1,0.001,1,0.001,37,32.4,80,36.3,-0.9,-6.6
Nick Young,GSW,75,0.5,70.3,0.1,25,0.5,52.5,0.7,42.3,1.9,36.6,2.4,38.2,86,60.5,73,57.5,124,58.1,2,0.001,0.001,0.001,90,32.2,122,39.3,41,51.2,-2.8,6.3
Nicolas Batum,CHA,60,1.3,66.7,0.5,46.9,1.8,47.2,1.9,39.8,1.7,31.7,3.1,33.9,40,50,183,44.3,79,54.4,45,44.4,0.001,0.001,73,41.1,155,35.5,100,38,4.3,4.9
Nik Stauskas,BKN,36,0.6,47.6,0.1,0.001,0.001,0.001,0.2,28.6,0.9,29,1.5,48.1,30,33.3,21,33.3,137,49.6,18,50,1,0.001,5,20,36,19.4,103,42.7,-0.2,8.2
Nikola Jokic,DEN,70,4.7,62,2.1,48.3,1.3,46.1,1,47.1,1.8,40.3,2.2,38.3,22,72.7,297,64.6,25,56,94,59.6,1,0.001,28,46.4,21,33.3,161,35.4,2,-6.1
Nikola Mirotic,NOP,50,2.6,61.5,0.8,52.5,0.9,31.1,0.8,36.6,2.5,42.5,4.3,34.1,43,55.8,120,53.3,33,45.5,23,39.1,0.001,0.001,45,31.1,75,30.7,35,31.4,6.4,1.7
Nikola Vucevic,ORL,53,3.9,71.5,2.7,44.4,2,38.5,1.8,47.9,1.5,38,3.3,30.6,64,48.4,255,54.5,19,73.7,10,70,0.001,0.001,1,0.001,37,43.2,76,28.9,0.001,-1.2
Noah Vonleh,CHI,53,1.9,56.9,0.4,40.9,0.2,40,0.4,52.6,0.7,26.5,0.9,31.1,53,58.5,62,66.1,0.001,0.001,12,41.7,0.001,0.001,7,28.6,2,0.001,139,34.5,3.8,0.6
Norman Powell,TOR,64,2,53.2,0.4,52.2,0.2,40,0.2,23.1,1.4,31.9,1.3,30.5,21,61.9,87,67.8,28,82.1,1,100,2,50,12,33.3,3,33.3,9,44.4,3.3,-2.9
OG Anunoby,TOR,68,1.8,64.8,0.001,0.001,0.001,33.3,0.1,0.001,1.6,44.5,1,21.7,9,55.6,67,70.1,175,56.6,17,76.5,0.001,0.001,0.001,0.001,125,44.8,19,47.4,-0.8,2.7
Okaro White,CLE,6,0.8,50,0.001,0.001,0.2,100,0.001,0.001,1,20,1.2,50,26,57.7,3,66.7,58,72.4,56,55.4,0.001,0.001,0.001,0.001,11,18.2,154,43.5,0.8,0.4
Omri Casspi,GSW,53,2.3,68,0.9,42.2,0.3,47.1,0.001,0.001,0.1,57.1,0.3,42.9,17,35.3,85,58.8,41,46.3,26,80.8,0.001,0.001,0.001,0.001,94,40.4,112,22.3,3.6,-12.6
Otto Porter Jr.,WAS,73,2.4,67.2,1.1,45.1,1.3,40.8,1.8,53.7,2.1,47.1,2.8,42.1,13,76.9,233,55.8,14,35.7,10,60,8,50,20,45,28,42.9,87,28.7,-3.1,-9.2
