PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
PJ Tucker,HOU,75,3.3,70.6,0.9,37.5,0.2,50,0.001,33.3,1.1,23.5,0.5,17.1,83,54.2,171,67.3,30,50,4,75,0.001,0.001,3,0.001,29,20.7,31,38.7,4.2,2.2
Pascal Siakam,TOR,77,1.3,56.9,0.4,40.7,0.2,46.2,0.3,28,1.1,35.2,1.5,36.4,89,52.8,82,57.3,14,35.7,8,62.5,8,25,17,41.2,47,42.6,45,26.7,-2.2,1.9
Pat Connaughton,POR,11,3.4,51.4,0.7,37.5,0.7,25,0.3,0.001,2.4,23.1,3.4,48.6,38,65.8,28,39.3,76,43.4,13,30.8,2,0.001,1,0.001,132,34.8,105,34.3,-6.1,2
Patrick Beverley,LAC,57,1.7,61.3,0.3,28.6,0.2,25,0.3,33.3,0.6,37.1,0.9,17.3,12,41.7,62,61.3,88,45.5,52,63.5,2,0.001,6,16.7,23,26.1,188,40.4,8.5,5.1
Patrick McCaw,GSW,78,0.6,52.2,0.3,33.3,0.2,25,0.1,25,1.5,38.4,0.7,40.7,23,47.8,41,53.7,197,41.1,78,42.3,0.001,0.001,4,50,237,38,87,40.2,1.6,-1.2
Patrick Patterson,OKC,77,1.1,55.4,0.2,31.6,0.1,40,1,42.1,2.4,45.7,3.2,34.1,9,44.4,92,42.4,64,48.4,62,46.8,0.001,0.001,51,33.3,33,27.3,231,47.2,0.001,4
Patty Mills,SAS,72,3.1,63.8,1.3,32.2,0.9,30.6,1.1,44.9,1.2,34.1,0.8,35.6,11,54.5,201,57.7,32,43.8,20,75,0.001,0.001,2,0.001,33,24.2,54,44.4,3.4,-0.8
Pau Gasol,SAS,75,3.9,61.6,1,37,1.5,36,2.3,34.3,3.8,39.2,4.3,39.2,50,56,286,55.9,19,47.4,7,28.6,0.001,0.001,78,25.6,63,39.7,69,39.1,-5,3.8
Paul George,OKC,33,3.7,62,2.4,48.7,1.7,45.5,0.6,33.3,1.3,34.1,1.7,39.3,21,52.4,128,53.9,16,37.5,19,36.8,0.001,0.001,5,20,74,29.7,210,37.1,4.1,1.6
Paul Millsap,DEN,54,0.8,55.6,0.3,16.7,0.3,28.6,0.6,25.8,1.1,36.7,1.2,28.8,12,50,60,38.3,27,66.7,8,50,0.001,0.001,5,40,30,53.3,164,38.4,-6.6,0.5
Paul Zipser,CHI,77,1,53.8,0.3,25,0.1,20,0.1,40,3,40.1,0.9,24.3,28,53.6,49,55.1,65,53.8,16,56.3,1,0.001,8,37.5,28,32.1,39,35.9,3.2,8.3
Quincy Acy,BKN,65,0.6,43.9,0.1,0.001,0.1,20,0.2,45.5,2.1,31.3,2.1,35.6,39,48.7,25,44,18,38.9,39,53.8,0.001,0.001,12,8.3,5,40,113,33.6,6,0.3
Quinn Cook,GSW,28,1.6,50,0.6,50,0.8,57.1,1.1,51.7,1.5,45,2,44.2,67,55.2,49,57.1,25,64,4,50,2,0.001,10,40,7,28.6,20,30,0.001,2.1
Rajon Rondo,NOP,60,3.6,56.7,0.6,52.8,0.3,53.3,0.6,30.6,1.6,32.6,0.9,35.2,32,62.5,135,59.3,99,43.4,7,42.9,0.001,0.001,0.001,0.001,68,35.3,36,47.2,3.5,2
Ramon Sessions,WAS,26,1.8,47.9,1,20,0.5,23.1,0.1,66.7,0.5,25,0.6,33.3,52,55.8,37,32.4,43,60.5,38,52.6,0.001,0.001,1,0.001,98,45.9,120,36.7,8.5,-0.3
Raul Neto,UTA,39,1.6,57.4,0.4,37.5,0.4,28.6,0.2,33.3,0.8,48.5,0.3,30.8,42,52.4,43,53.5,90,45.6,30,83.3,7,0.001,2,0.001,69,21.7,149,45.6,16.4,-16.5
Raymond Felton,OKC,78,1.3,54.5,0.6,43.8,0.5,43.2,1.1,37.9,1.4,43.4,1.7,33.3,128,57.8,117,50.4,30,66.7,19,42.1,0.001,0.001,22,22.7,1,0.001,67,46.3,-3,-6.4
Reggie Bullock,DET,61,2.2,65.4,0.6,26.5,0.7,43.9,0.7,47.7,2,42.9,2.7,46,69,44.9,121,55.4,167,46.7,15,40,4,75,24,33.3,63,31.7,27,14.8,2.4,-6.1
Reggie Jackson,DET,40,3.2,50,2.3,51.1,1.7,53.7,1.5,36.1,1.4,37,2.7,31.5,4,75,161,55.3,60,45,102,47.1,0.001,0.001,12,16.7,217,38.2,185,35.7,3.6,-2.4
Richaun Holmes,PHI,42,2.8,70.7,0.6,44,0.4,33.3,0.2,20,0.4,20,0.5,15,7,28.6,74,70.3,79,49.4,29,79.3,0.001,0.001,2,0.001,2,0.001,152,38.8,1.8,2.5
Ricky Rubio,UTA,72,2.3,48.1,0.6,29.5,1.4,45.9,2.4,43.4,2.5,36,1.7,37,71,57.7,161,46.6,86,53.5,122,41.8,0.001,0.001,6,33.3,137,32.1,12,33.3,-5.2,-0.3
Robert Covington,PHI,74,2.3,60.1,0.4,48.1,0.3,4.8,0.5,44.4,1.6,33.3,5.5,37.6,17,58.8,98,56.1,5,80,18,50,0.001,0.001,116,39.7,8,50,129,42.6,3.7,7.9
Robin Lopez,CHI,64,4.5,65.7,2.6,50.3,0.7,36.4,1.3,43.8,0.8,25.9,0.2,27.3,58,62.1,277,62.8,5,80,4,50,1,0.001,0.001,0.001,10,30,19,36.8,2.7,-2.4
Rodney Hood,CLE,57,1.6,58.2,1.5,43.7,1.7,43.3,1.6,39.6,2.6,39.5,3.7,39.7,104,58.7,208,48.1,4,25,8,50,0.001,0.001,58,41.4,8,37.5,17,29.4,-1.6,0.6
Rodney McGruder,MIA,14,1.2,75,0.6,44.4,0.1,0.001,0.4,20,1.5,33.3,0.4,66.7,181,53,16,50,187,55.6,4,75,3,0.001,0.001,0.001,7,0.001,20,20,6.2,5
Rodney Purvis,ORL,10,0.5,60,0.1,0.001,0.1,0.001,1.1,54.5,1.2,25,1.9,31.6,30,53.3,5,20,35,57.1,28,46.4,0.001,0.001,2,0.001,10,30,39,25.6,3,10
Ron Baker,NYK,29,0.7,40,0.001,0.001,0.001,0.001,0.1,0.001,0.6,41.2,0.7,27.8,43,65.1,9,22.2,77,50.6,10,40,1,0.001,1,100,38,26.3,95,34.7,0.001,-7.5
Rondae Hollis-Jefferson,BKN,63,5.1,56.8,2.1,34.6,1.9,47.9,1.2,45.2,0.6,27.5,0.2,23.1,36,75,283,53,39,87.2,17,52.9,0.001,0.001,3,33.3,0.001,0.001,54,37,0.6,-0.5
Royce O'Neale,UTA,64,1.6,49,0.4,36,0.3,52.6,0.1,42.9,1,34.4,0.7,33.3,18,55.6,68,51.5,381,48.8,20,65,0.001,0.001,1,0.001,173,27.7,0.001,0.001,1,0.3
Rudy Gay,SAS,52,2.9,63.6,1.5,40,1.7,49.4,0.9,41.7,1.1,25.9,1,37.7,8,37.5,207,53.6,38,44.7,103,64.1,0.001,0.001,9,22.2,117,34.2,85,36.5,-3.8,-5.9
Rudy Gobert,UTA,51,6.9,68.4,0.6,18.8,0.2,12.5,0.2,33.3,0.001,50,0.001,0.001,40,55,195,74.4,18,77.8,10,90,0.001,0.001,0.001,0.001,0.001,0.001,218,41.3,-5.2,-0.3
Russell Westbrook,OKC,76,8.6,58.3,0.9,36.9,2.5,38.5,4.1,39.6,2.4,34.6,2.6,29.6,27,51.9,516,51.7,38,81.6,3,66.7,2,0.001,38,26.3,9,22.2,1,0.001,-4.4,0.3
Ryan Anderson,HOU,65,1.2,59,0.2,9.1,0.2,53.8,0.5,56.7,1.2,41.6,3.8,39.6,10,40,51,66.7,28,53.6,11,36.4,0.001,0.001,2,50,45,31.1,48,16.7,-0.1,-0.5
Salah Mejri,DAL,59,2,70.4,0.2,38.5,0.001,0.001,0.1,25,0.001,0.001,0.1,0.001,11,54.5,53,81.1,10,40,5,20,0.001,0.001,1,0.001,23,39.1,64,25,-4.2,4
Sam Dekker,LAC,69,2.1,63.4,0.3,47.4,0.1,50,0.1,25,0.4,21.4,0.5,14.3,45,46.7,78,55.1,112,55.4,2,0.001,0.001,0.001,3,0.001,80,36.3,82,30.5,-6.5,8.9
Sean Kilpatrick,CHI,47,1.3,51.7,0.5,30,0.2,30,0.4,26.7,1.6,25,1.1,31.4,51,47.1,51,37.3,105,50.5,47,61.7,1,100,7,28.6,88,37.5,175,35.4,-1.7,2.1
Semi Ojeleye,BOS,67,0.5,41.9,0.1,0.001,0.1,50,0.1,28.6,1.1,36.1,0.6,19.5,25,44,22,45.5,31,35.5,24,58.3,0.001,0.001,2,0.001,27,40.7,85,41.2,14.1,-3.1
Serge Ibaka,TOR,71,2.1,65.1,1.1,50.7,1.3,53.3,1.6,48.3,1.6,44.6,2.6,31.3,79,44.3,228,60.5,16,87.5,11,36.4,0.001,0.001,22,31.8,5,20,44,40.9,-0.3,-8.1
Shabazz Napier,POR,69,1.6,50.9,0.4,20.8,0.5,38.9,1.2,50,2,39.6,1.6,37.6,2,50,105,48.6,48,60.4,1,100,0.001,0.001,24,25,2,0.001,14,21.4,1.3,2
Shane Larkin,BOS,50,1.1,52.7,0.2,33.3,0.2,36.4,0.6,22.2,0.9,34.9,1,38.8,59,52.5,49,57.1,49,40.8,15,66.7,12,0.001,1,0.001,34,32.4,1,0.001,-1.3,0.9
Shaquille Harrison,PHX,19,3.2,54.1,0.2,0.001,0.2,33.3,0.001,0.001,0.4,37.5,0.7,16.7,36,55.6,27,48.1,11,36.4,14,64.3,1,0.001,2,50,18,27.8,78,37.2,5.5,-1.4
Shaun Livingston,GSW,68,1.3,67.4,0.7,49,2,44.9,0.6,41.9,0.1,50,0.001,0.001,81,59.3,196,53.6,67,47.8,18,83.3,12,41.7,1,0.001,13,38.5,32,37.5,1.8,-5.8
Shelvin Mack,ORL,63,1.9,59.5,0.9,34,0.6,32.4,0.4,44,0.7,28.9,1.4,37.5,17,41.2,112,55.4,2,100,34,38.2,0.001,0.001,7,28.6,2,50,35,34.3,-0.7,0.3
Sindarius Thornwell,LAC,68,1.6,46.9,0.5,39.3,0.1,44.4,0.1,40,0.6,41.5,0.3,33.3,143,67.8,70,57.1,71,46.5,0.001,0.001,0.001,0.001,3,33.3,189,31.2,10,20,4.3,6
Skal Labissiere,SAC,60,2.5,64.6,1.9,35.7,1,38.3,1.3,33.8,0.4,36,0.6,34.3,33,57.6,202,52,78,38.5,20,55,0.001,0.001,3,33.3,68,23.5,121,38,0.3,-2.4
Solomon Hill,NOP,7,1,57.1,0.6,25,0.001,0.001,0.1,100,0.3,50,1.6,27.3,141,68.8,5,60,71,62,35,65.7,0.001,0.001,2,50,188,43.1,130,31.5,1.1,0.2
Spencer Dinwiddie,BKN,76,2.8,56.1,0.9,26.8,0.8,36.5,0.4,32.3,1.6,33.6,3.6,31.3,46,52.2,188,52.7,20,40,37,73,2,100,67,28.4,27,33.3,208,47.1,-10.2,-23.6
Stanley Johnson,DET,64,2.2,55.8,0.7,27.7,0.5,31.4,0.9,41.7,1.8,32.5,1.7,24.5,4,75,117,49.6,102,70.6,10,70,0.001,0.001,11,18.2,1,0.001,43,37.2,-1.6,0.8
Stephen Curry,GSW,51,3.6,62.7,0.4,40.9,1,56.6,1.3,61.2,3.3,43.8,6.9,43.9,10,70,156,62.2,97,54.6,22,86.4,0.001,0.001,90,31.1,7,14.3,1,0.001,-1.4,0.9
Sterling Brown,MIL,50,1.3,49.2,0.3,25,0.3,61.5,0.2,27.3,0.9,36.4,0.8,39,52,40.4,42,61.9,131,56.5,24,54.2,2,100,11,36.4,13,38.5,50,48,5.1,0.4
Steven Adams,OKC,72,7.3,66.7,1.6,50.4,0.5,54.3,0.1,20,0.001,0.001,0.001,0.001,22,72.7,353,66.3,107,57,62,50,0.001,0.001,0.001,0.001,182,37.4,18,5.6,5.7,0.1
T.J. McConnell,PHI,70,1.8,58.9,0.9,53.8,1.3,45.1,0.6,44.4,0.5,42.1,0.4,44,126,57.9,137,56.2,14,71.4,37,48.6,0.001,0.001,1,0.001,45,33.3,190,39.5,-4.6,1.8
TJ Warren,PHX,78,5,71.8,1.3,47,0.8,46.2,1.1,35.3,0.6,31.9,0.1,25,19,52.6,275,71.3,29,62.1,7,85.7,2,0.001,3,33.3,39,38.5,54,31.5,-7.5,-1.3
Taj Gibson,MIN,77,3.4,56.9,1,35.4,0.9,35.2,0.7,18.2,2.9,39.5,2.7,37.6,15,46.7,227,48.5,101,47.5,6,66.7,1,0.001,38,28.9,146,39,30,30,-0.3,1.3
Taurean Prince,ATL,59,0.5,67.7,0.001,0.001,0.001,0.001,0.1,50,1.2,39.7,0.9,27.7,82,54.9,18,55.6,31,64.5,22,50,4,25,6,50,14,50,179,39.1,4,-2.6
Terrance Ferguson,OKC,22,1.3,71.4,0.7,20,0.9,36.8,1,47.6,2,48.9,2.1,21.7,22,63.6,41,36.6,97,53.6,21,57.1,0.001,0.001,13,30.8,29,34.5,67,35.8,0.9,-0.4
Terrence Ross,ORL,76,2.4,48.6,0.7,32.1,0.6,33.3,1,39,1.9,36.8,3.3,40.6,27,51.9,162,45.7,38,63.2,43,65.1,0.001,0.001,42,38.1,25,28,142,32.4,-1.1,-3.9
Terry Rozier,BOS,38,2.4,66.7,0.4,25,0.6,40.9,0.3,33.3,2,41.6,0.5,35,141,61,64,59.4,26,53.8,53,54.7,1,0.001,2,50,15,40,65,32.3,-2,-2.9
Thabo Sefolosha,UTA,77,5.1,60.5,1.8,43.5,0.6,38.8,0.8,34.4,1.2,39.4,1.3,33,141,55.3,316,60.1,91,56,16,56.3,2,0.001,5,40,206,31.1,30,30,0.9,1.3
Thaddeus Young,IND,71,1.5,51.4,0.3,31.8,0.3,36.4,0.6,46.5,0.9,40,0.7,27.7,29,58.6,79,44.3,3,100,30,66.7,0.001,0.001,4,25,1,0.001,118,39,0.3,-0.2
Thon Maker,MIL,55,0.7,61.1,0.2,27.3,0.3,46.7,0.5,33.3,0.6,41.2,0.7,22.2,17,58.8,36,50,12,50,7,42.9,0.001,0.001,8,12.5,39,38.5,15,26.7,1.1,3.2
Tim Frazier,WAS,55,3.9,59.9,0.8,18.6,1.1,52.4,1.3,41.7,2.5,42.8,5.3,30.7,36,55.6,195,54.4,223,59.6,8,50,0.001,0.001,56,23.2,30,16.7,111,33.3,4.9,5.1
Tim Hardaway Jr.,NYK,28,2,65.5,0.2,60,0.1,25,0.001,0.001,0.6,29.4,0.1,0.001,21,57.1,29,69,125,50.4,78,51.3,1,0.001,0.001,0.001,192,38.5,53,28.3,1.1,0.4
Timofey Mozgov,BKN,52,1.6,50.6,0.2,8.3,0.001,100,0.1,20,1.5,31.1,1.7,34.8,16,62.5,42,54.8,46,56.5,44,70.5,0.001,0.001,7,14.3,18,27.8,196,45.9,-6.5,6.4
Timothe Luwawu-Cabarrot,PHI,65,7,65.2,2.2,40,2.6,43.9,2.6,39.6,1.3,27.7,0.6,23.8,15,33.3,477,52.2,8,75,26,57.7,1,0.001,6,0.001,2,0.001,73,52.1,-0.6,-0.7
Tobias Harris,LAC,75,4,57.7,2,43.3,2,44.3,1.3,41,2.3,39.3,3.6,42.8,35,42.9,340,52.1,105,48.6,6,50,2,0.001,33,39.4,10,40,8,50,-1.8,-0.8
Tomas Satoransky,WAS,68,1.7,63.5,0.8,57.4,0.5,40.5,0.6,41.7,0.9,42.4,0.7,51.1,46,56.5,130,60,29,34.5,49,55.1,0.001,0.001,1,100,71,40.8,22,22.7,1.1,-0.2
Tony Allen,NOP,22,3,56.1,0.4,25,0.001,0.001,0.001,0.001,0.6,41.7,0.1,0.001,16,75,37,56.8,13,69.2,15,53.3,2,0.001,2,0.001,27,37,163,41.7,2.8,-6.6
Tony Parker,SAS,50,2.9,61.4,0.7,35.3,0.8,45.2,1.6,39.2,1.2,30,0.1,33.3,65,66.2,120,52.5,4,50,2,50,5,0.001,1,0.001,9,11.1,21,33.3,8.9,-6.8
Tony Snell,MIL,70,1.1,58.4,0.3,21.7,0.2,60,0.3,47.6,1.8,38.9,1.9,42.4,36,52.8,63,65.1,37,54.1,4,50,0.001,0.001,6,33.3,25,36,29,48.3,4.9,-2.3
Torrey Craig,DEN,34,1.9,59.1,0.1,20,0.1,50,0.1,50,0.9,45.2,0.6,23.8,14,42.9,32,75,24,70.8,10,60,3,0.001,4,0.001,155,35.5,67,44.8,2.5,4.2
Travis Wear,LAL,13,0.1,100,0.1,0.001,0.1,0.001,0.5,28.6,1.4,55.6,2.2,31,10,50,5,20,41,63.4,9,77.8,0.001,0.001,0.001,0.001,4,25,210,43.3,-0.7,0.001
Treveon Graham,CHA,63,1,50.8,0.4,37.5,0.3,31.6,0.2,53.8,0.9,43.6,0.7,40.9,6,50,52,48.1,92,55.4,8,62.5,0.001,0.001,1,100,27,37,23,30.4,-2.1,-18.3
Trevor Ariza,HOU,64,2.4,57.8,0.2,7.1,0.1,0.001,0.1,20,4,41.7,2.9,32.4,17,47.1,92,56.5,56,50,30,73.3,0.001,0.001,76,27.6,85,40,34,44.1,0.5,2.4
Trevor Booker,IND,63,2.7,60.9,1.3,48.8,0.2,26.7,0.3,38.9,0.2,28.6,0.2,30.8,19,42.1,155,58.7,27,81.5,14,57.1,2,0.001,1,0.001,0.001,0.001,105,39,9,-7.1
Trey Burke,NYK,31,1.5,66.7,0.9,42.9,1.4,53.5,2.7,51.2,1.8,61.8,1.8,36.8,44,56.8,90,53.3,29,44.8,14,57.1,1,0.001,18,38.9,221,40.3,0.001,0.001,-1.4,-4.1
Trey Lyles,DEN,69,3,62.4,0.8,39.2,0.6,55.3,0.3,38.9,1.4,41.1,1.7,37.5,31,38.7,159,64.2,14,71.4,7,42.9,1,0.001,18,38.9,16,31.3,127,45.7,-2.2,-5.4
Tristan Thompson,CLE,48,3.4,65,0.8,36.8,0.2,20,0.1,20,0.001,0.001,0.001,0.001,58,60.3,124,59.7,13,69.2,8,87.5,0.001,0.001,0.001,0.001,9,22.2,19,26.3,-2.3,-0.3
Troy Daniels,PHX,77,0.4,48.3,0.2,50,0.3,50,0.4,37.9,2.4,45.1,3.6,36.5,109,54.1,56,48.2,29,44.8,4,100,1,0.001,96,36.5,67,41.8,73,39.7,4.2,2.5
Troy Williams,NYK,21,2.9,60,0.1,66.7,0.2,0.001,0.2,33.3,0.6,33.3,1.3,28.6,24,54.2,30,53.3,19,52.6,12,58.3,0.001,0.001,2,50,9,11.1,85,34.1,3.6,1.5
Tyler Cavanaugh,ATL,38,1.1,57.1,0.2,57.1,0.1,60,0.1,0.001,1.6,42.4,0.8,30,42,57.1,27,66.7,98,49,9,44.4,0.001,0.001,0.001,0.001,116,41.4,27,25.9,-1.9,-0.5
Tyler Dorsey,ATL,51,1.5,50.7,0.2,10,0.3,7.1,0.5,46.2,2,33.3,1.8,35.2,25,56,69,44.9,126,49.2,33,42.4,0.001,0.001,17,5.9,23,21.7,172,35.5,8.3,9.7
Tyler Ennis,LAL,48,1.7,53.1,0.3,33.3,0.2,22.2,0.4,43.8,0.4,50,0.6,7.4,93,51.6,57,59.6,33,60.6,57,40.4,4,0.001,3,0.001,3,33.3,105,31.4,3.3,2.7
Tyler Johnson,MIA,67,2.3,59.9,0.7,44.9,0.6,39,0.9,39.7,2.7,38.8,2.6,36,13,46.2,138,58.7,92,52.2,23,60.9,0.001,0.001,11,27.3,138,41.3,24,37.5,5.4,-8
Tyler Ulis,PHX,67,1.3,39.5,0.7,48.9,1.8,47,1.6,37,0.7,26.5,1.3,31,15,40,116,50,21,52.4,34,61.8,17,58.8,3,0.001,7,42.9,103,43.7,3.7,-2.7
Tyler Zeller,MIL,61,3.3,63.4,0.9,39.3,0.2,45.5,0.1,33.3,0.5,38.7,0.001,0.001,18,27.8,122,64.8,30,70,9,77.8,0.001,0.001,0.001,0.001,0.001,0.001,22,27.3,5.1,1
Tyreke Evans,MEM,52,7.6,51.9,0.7,30.6,0.1,40,0.6,39.4,2.1,40.2,4.4,39.6,29,65.5,224,55.4,31,51.6,14,92.9,0.001,0.001,43,27.9,35,34.3,0.001,0.001,-1.1,6.8
Tyrone Wallace,LAC,25,4,56,1.5,43.2,1.2,27.6,0.2,20,0.8,40,0.4,20,14,64.3,97,58.8,256,54.7,21,61.9,0.001,0.001,4,25,219,39.7,78,35.9,0.2,-2.5
Tyson Chandler,PHX,46,4,64.8,0.001,50,0.001,100,0.001,50,0.001,0.001,0.001,0.001,38,55.3,95,66.3,35,51.4,90,63.3,2,0.001,0.001,0.001,71,38,123,35.8,6.5,-10.4
Tyus Jones,MIN,78,1.2,61.1,0.6,41.9,0.4,51.6,0.3,45.8,0.9,35.7,0.6,36,94,42.6,101,60.4,26,46.2,12,50,0.001,0.001,3,0.001,197,38.1,55,30.9,-1,2.3
Victor Oladipo,IND,71,5.3,65.1,0.9,37.5,1.3,48.9,3.5,42.5,2.3,44.2,4.7,34.5,117,58.1,338,60.7,28,67.9,9,44.4,0.001,0.001,59,32.2,60,33.3,173,42.2,8.1,-0.8
Vince Carter,SAC,54,0.9,56,0.3,22.2,0.1,42.9,0.4,54.2,1.1,33.9,1.9,36.3,20,70,49,46.9,23,56.5,11,72.7,1,0.001,25,32,4,25,46,52.2,3,-1.7
Wayne Ellington,MIA,72,0.8,60,0.1,0.001,0.1,12.5,0.3,42.9,3.1,40.9,4.6,37.8,78,56.4,50,54,68,48.5,16,62.5,2,50,144,35.4,60,31.7,30,20,-6.5,12.1
Wayne Selden,MEM,35,1.9,52.2,1,30.6,0.6,40,0.5,57.9,1.3,36.2,2.2,43.6,2,100,73,47.9,86,44.2,32,46.9,0.001,0.001,13,38.5,136,35.3,86,40.7,1,4.4
Wes Iwundu,ORL,56,1.4,61.3,0.4,36.4,0.4,42.9,0.3,31.3,0.6,25.8,0.2,7.7,35,42.9,56,48.2,90,56.7,26,38.5,2,0.001,1,0.001,189,29.6,226,41.6,4.2,-7.5
Wesley Johnson,LAC,69,0.9,59,0.1,28.6,0.3,40,0.9,38.1,2.2,36.7,0.8,34.6,28,46.4,64,43.8,109,52.3,29,72.4,0.001,0.001,24,20.8,3,0.001,140,45.7,1,-7.3
Wesley Matthews,DAL,63,1.3,48.2,1,45.5,1.1,42.6,0.9,49.1,3,41,3.7,33.9,47,51.1,124,49.2,26,61.5,101,54.5,2,50,34,32.4,0.001,0.001,9,33.3,-1.4,1.5
Will Barton,DEN,76,4.7,60.3,1.4,30.2,0.6,42.2,0.5,28.9,1.8,33.8,3.4,38,115,59.1,275,60,67,56.7,3,100,0.001,0.001,50,38,122,31.1,1,100,0.9,-3.2
Willie Cauley-Stein,SAC,69,5.7,61.1,2.1,32.6,0.6,27.9,1.4,39,0.3,52.6,0.1,40,36,55.6,308,54.9,6,16.7,20,65,0.001,0.001,0.001,0.001,5,0.001,56,42.9,5.8,0.1
Willie Reed,DET,42,2,70.7,0.6,69.6,0.3,40,0.1,50,0.001,100,0.001,0.001,8,37.5,56,83.9,109,52.3,6,66.7,0.001,0.001,0.001,0.001,133,36.1,8,0.001,-2.5,2.9
Wilson Chandler,DEN,69,3.2,60.8,1,38.2,0.5,22.2,0.4,35.7,1.7,35.9,1.8,36.4,1,100,178,49.4,24,41.7,50,44,0.001,0.001,49,38.8,17,29.4,182,38.5,-5,-7.3
Xavier Rathan-Mayes,MEM,5,1.4,71.4,1.2,16.7,0.4,0.001,1.2,33.3,1.8,33.3,2.2,9.1,5,40,9,44.4,39,35.9,14,57.1,0.001,0.001,0.001,0.001,58,29.3,81,34.6,-3.4,1.5
Yogi Ferrell,DAL,77,1.8,52.2,0.4,32.3,0.7,44.4,1.3,50.5,2.2,43.3,2.6,33.8,1,100,137,56.2,152,48.7,23,47.8,0.001,0.001,19,47.4,36,25,38,44.7,0.1,18.1
Zach Collins,POR,61,1.4,56.3,0.4,38.5,0.4,34.8,0.4,21.7,1.1,42.4,0.7,20.5,3,100,80,50,38,68.4,56,35.7,0.001,0.001,3,33.3,0.001,0.001,105,38.1,7.8,-0.3
Zach LaVine,CHI,24,5.9,49.3,0.6,14.3,0.8,33.3,1.3,30,2.9,29,3.4,34.6,11,81.8,91,48.4,11,63.6,52,59.6,0.001,0.001,23,30.4,14,28.6,1,0.001,-6.3,5.4
Zach Randolph,SAC,59,4.2,64.5,2.5,42.6,1.2,32.4,2,46.2,1.4,35.7,1.7,34.7,1,100,253,58.5,2,100,2,50,0.001,0.001,6,33.3,1,100,13,46.2,1.6,-3.3
Zaza Pachulia,GSW,65,2.8,62.6,0.4,41.7,0.3,55.6,0.4,37,0.001,0.001,0.001,0.001,31,61.3,92,72.8,2,50,1,100,0.001,0.001,0.001,0.001,1,0.001,2,50,7.5,3.1
